% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 13 2023, 18:26"
% Table,d8_m - 
% m,d1 (m),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
0,0.08,3050,2700,-7.9553482246708E-6-5.941774373079304E-6i
0,0.08,3060,2700,-8.285516004487133E-6-5.402180750642069E-5i
0,0.08,3070,2700,-8.697357844918892E-6-1.039372654922175E-4i
0,0.08,3080,2700,-9.210087188358738E-6-1.562139070728846E-4i
0,0.08,3090,2700,-9.85092409160319E-6-2.1151775343966557E-4i
0,0.08,3100,2700,-1.0659390941662322E-5-2.707215788750722E-4i
0,0.08,3110,2700,-1.1694728773946952E-5-3.3501216313334357E-4i
0,0.08,3120,2700,-1.3049376461700145E-5-4.060717833919081E-4i
0,0.08,3130,2700,-1.4875052866545467E-5-4.8640309539812245E-4i
0,0.08,3140,2700,-1.743730057056564E-5-5.799516730862087E-4i
0,0.08,3150,2700,-2.124138953260341E-5-6.934050868639279E-4i
0,0.08,3160,2700,-2.7363385372129975E-5-8.39222007430122E-4i
0,0.08,3170,2700,-3.849368791083894E-5-0.0010438572817127337i
0,0.08,3180,2700,-6.326308343603424E-5-0.0013757587449566503i
0,0.08,3190,2700,-1.4531493201727953E-4-0.0020853970245955033i
0,0.08,3200,2700,-0.0010789898375380912-0.005367033651650891i
0,0.08,3210,2700,-7.206340497242599E-4+0.003924935490573666i
0,0.08,3220,2700,-6.947413854897608E-5+9.367794688630997E-4i
0,0.08,3230,2700,-2.1320552509269523E-5+2.346147632921528E-4i
0,0.08,3240,2700,-1.0556293903350305E-5-1.2003421698947922E-4i
0,0.08,3250,2700,-7.594445642802439E-6-3.636768991161086E-4i
0,0.08,3260,2700,-7.2420338399515E-6-5.635686824644378E-4i
0,0.08,3270,2700,-8.135180704605311E-6-7.477259828963687E-4i
0,0.08,3280,2700,-9.892848774751175E-6-9.317148881243285E-4i
0,0.08,3290,2700,-1.2503006997861812E-5-0.0011269838573797523i
0,0.08,3300,2700,-1.6181695669341963E-5-0.0013445448558279513i
0,0.08,3310,2700,-2.1395452197778938E-5-0.0015975452203840733i
0,0.08,3320,2700,-2.9013394094181325E-5-0.0019042627735311604i
0,0.08,3330,2700,-4.068691196253123E-5-0.002293072979409108i
0,0.08,3340,2700,-5.979624392961298E-5-0.00281248897109479i
0,0.08,3350,2700,-9.41047619674275E-5-0.003554706140841255i
0,0.08,3360,2700,-1.64743083002344E-4-0.004720927791747036i
0,0.08,3370,2700,-3.469988895274564E-4-0.006852002975413552i
0,0.08,3380,2700,-0.00108639665407883-0.01206265418767416i
0,0.08,3390,2700,-0.015274456794300863-0.04251487679127705i
0,0.08,3400,2700,-0.004760888010507701+0.02455964535531673i
0,0.08,3410,2700,-7.961666938388964E-4+0.010087244335760623i
0,0.08,3420,2700,-3.2150200623702363E-4+0.006333469846006138i
0,0.08,3430,2700,-1.7595799314539345E-4+0.004610322609318144i
0,0.08,3440,2700,-1.1253736706352181E-4+0.003616057486964337i
0,0.08,3450,2700,-7.91692604722513E-5+0.0029652458195409226i
0,0.08,3460,2700,-5.941089307732686E-5+0.0025033932758014967i
0,0.08,3470,2700,-4.6724740520612185E-5+0.002156535880388673i
0,0.08,3480,2700,-3.8086842264877324E-5+0.001884814684506852i
0,0.08,3490,2700,-3.193931903385094E-5+0.001664842201906955i
0,0.08,3500,2700,-2.7411994841427617E-5+0.001481982581616246i
0,0.08,3510,2700,-2.3987239567249023E-5+0.0013266005363745295i
0,0.08,3520,2700,-2.1341245498663683E-5+0.0011920865006259268i
0,0.08,3530,2700,-1.9262978916100595E-5+0.001073748401799376i
0,0.08,3540,2700,-1.7610184256784458E-5+9.681564431176547E-4i
0,0.08,3550,2700,-1.6284261445153435E-5+8.727384493732615E-4i
0,0.08,3560,2700,-1.5215298065705013E-5+7.85520477272468E-4i
0,0.08,3570,2700,-1.4352826531571229E-5+7.049550527223949E-4i
0,0.08,3580,2700,-1.3659942419743282E-5+6.298040752115734E-4i
0,0.08,3590,2700,-1.3109468818773805E-5+5.590568072394441E-4i
0,0.08,3600,2700,-1.2681408570913707E-5+4.918709092874709E-4i
0,0.08,3610,2700,-1.2361234480974622E-5+4.275288774510867E-4i
0,0.08,3620,2700,-1.213874472594746E-5+3.654048742872047E-4i
0,0.08,3630,2700,-1.200731662766729E-5+3.049385512836171E-4i
0,0.08,3640,2700,-1.1963458375761485E-5+2.45613448749807E-4i
0,0.08,3650,2700,-1.2006602876148851E-5+1.869381519047088E-4i
0,0.08,3660,2700,-1.2139121274984687E-5+1.2842870485502936E-4i
0,0.08,3670,2700,-1.2366563105755987E-5+6.959089860921738E-5i
0,0.08,3680,2700,-1.2698161651323879E-5+9.900971562223919E-6i
0,0.08,3690,2700,-1.3147684056678379E-5-5.121703460000454E-5i
0,0.08,3700,2700,-1.373476627633192E-5-1.1441961163657132E-4i
0,0.08,3710,2700,-1.448697046955296E-5-1.804812073181222E-4i
0,0.08,3720,2700,-1.5442968955609158E-5-2.503459276295407E-4i
0,0.08,3730,2700,-1.6657556596027006E-5-3.2520184180269635E-4i
0,0.08,3740,2700,-1.8209749986461587E-5-4.0659179169530305E-4i
0,0.08,3750,2700,-2.0216321775280714E-5-4.965849123225043E-4i
0,0.08,3760,2700,-2.2855368219525265E-5-5.980529696535883E-4i
0,0.08,3770,2700,-2.640944367157003E-5-7.151361422735034E-4i
0,0.08,3780,2700,-3.134943472146379E-5-8.540708039914634E-4i
0,0.08,3790,2700,-3.851030561712682E-5-0.001024757982782713i
0,0.08,3800,2700,-4.949583016184594E-5-0.0012439828017135996i
0,0.08,3810,2700,-6.773324965720861E-5-0.0015427443501001951i
0,0.08,3820,2700,-1.0172968546903284E-4-0.0019854657534158202i
0,0.08,3830,2700,-1.7799603230658385E-4-0.0027317758492416324i
0,0.08,3840,2700,-4.1940409914901545E-4-0.004313993040878809i
0,0.08,3850,2700,-0.0023080695538060755-0.010125959030994612i
0,0.08,3860,2700,-0.007915696602666883+0.017749145640892038i
