% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 12 2023, 14:04"
% Table,d1sweep - 
% d1 (cm),freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
1,320,500.00000000000006,1.2036098189714626E-7+2.385621897238027E-4i
1,330,500.00000000000006,1.2812057966793984E-7+2.3072549702322651E-4i
1,340,500.00000000000006,1.3386439993704233E-7+2.2339599947774304E-4i
1,350,500.00000000000006,1.3798455627087548E-7+2.1652467543553484E-4i
1,360,500.00000000000006,1.4079387706715218E-7+2.1006872831203999E-4i
1,370,500.00000000000006,1.425432814191023E-7+2.0399061600050096E-4i
1,380,500.00000000000006,1.434350153960555E-7+1.9825725806212882E-4i
1,390,500.00000000000006,1.4363281541511212E-7+1.928393835742073E-4i
1,400,500.00000000000006,1.4326977010221641E-7+1.8771099115872766E-4i
1,410,500.00000000000006,1.424544439938114E-7+1.8284889915057292E-4i
1,420,500.00000000000006,1.4127567827430328E-7+1.7823236870283832E-4i
1,430,500.00000000000006,1.398063771901097E-7+1.7384278629829157E-4i
1,440,500.00000000000006,1.3810651142678497E-7+1.6966339494509992E-4i
1,450,500.00000000000006,1.362255130896433E-7+1.656790655025315E-4i
1,460,500.00000000000006,1.342041950990379E-7+1.6187610126655084E-4i
1,470,500.00000000000006,1.320762966835026E-7+1.582420702643145E-4i
1,480,500.00000000000006,1.298697333206987E-7+1.5476566074607253E-4i
1,490,500.00000000000006,1.2760761186113534E-7+1.5143655618736322E-4i
1,500,500.00000000000006,1.2530905818388326E-7+1.48245326772763E-4i
1,510,500.00000000000006,1.2298989450117624E-7+1.4518333486049988E-4i
1,520,500.00000000000006,1.206631955529188E-7+1.4224265235362218E-4i
1,530,500.00000000000006,1.1833974684609676E-7+1.3941598824935786E-4i
1,540,500.00000000000006,1.160284233557365E-7+1.366966249201322E-4i
1,550,500.00000000000006,1.1373650340328302E-7+1.3407836191090675E-4i
1,560,500.00000000000006,1.114699295176735E-7+1.3155546622729968E-4i
1,570,500.00000000000006,1.0923352579242763E-7+1.2912262824624218E-4i
1,580,500.00000000000006,1.0703117943032674E-7+1.2677492251105693E-4i
1,590,500.00000000000006,1.0486599271668352E-7+1.2450777278130316E-4i
1,600,500.00000000000006,1.0274041050937373E-7+1.223169207986227E-4i
1,610,500.00000000000006,1.0065632739825579E-7+1.201983983056615E-4i
1,620,500.00000000000006,9.861517794055912E-8+1.1814850191923464E-4i
1,630,500.00000000000006,9.661801277373862E-8+1.1616377051286372E-4i
1,640,500.00000000000006,9.466556291224637E-8+1.1424096480944787E-4i
1,650,500.00000000000006,9.275829413838673E-8+1.1237704892355669E-4i
1,660,500.00000000000006,9.08964530648891E-8+1.1056917362563864E-4i
1,670,500.00000000000006,8.908010618281776E-8+1.088146611284429E-4i
1,680,500.00000000000006,8.730917298161676E-8+1.0711099121954982E-4i
1,690,500.00000000000006,8.558345404814396E-8+1.0545578858416207E-4i
1,700,500.00000000000006,8.390265489583112E-8+1.0384681117926937E-4i
1,710,500.00000000000006,8.226640614659793E-8+1.0228193953468359E-4i
1,720,500.00000000000006,8.067428057881575E-8+1.0075916686832523E-4i
1,730,500.00000000000006,7.912580745955596E-8+9.927658991300713E-5i
1,740,500.00000000000006,7.762048449638107E-8+9.783240035965024E-5i
1,750,500.00000000000006,7.615778766825289E-8+9.642487682793273E-5i
1,760,500.00000000000006,7.473717912541666E-8+9.505237727924445E-5i
1,770,500.00000000000006,7.33581132758979E-8+9.371333178911565E-5i
1,780,500.00000000000006,7.20200411083527E-8+9.240623559646064E-5i
1,790,500.00000000000006,7.072241271823316E-8+9.112964234481203E-5i
1,800,500.00000000000006,6.946467791625998E-8+8.988215742625955E-5i
1,810,500.00000000000006,6.824628468609328E-8+8.866243133101394E-5i
1,820,500.00000000000006,6.706667512113389E-8+8.746915289423987E-5i
1,830,500.00000000000006,6.592527828837853E-8+8.630104231560206E-5i
1,840,500.00000000000006,6.482149922881737E-8+8.515684380483306E-5i
1,850,500.00000000000006,6.375470297675899E-8+8.403531767647697E-5i
1,860,500.00000000000006,6.27241920313379E-8+8.293523167619408E-5i
1,870,500.00000000000006,6.172917508392909E-8+8.185535126599979E-5i
1,880,500.00000000000006,6.076872391407737E-8+8.079442852112586E-5i
1,890,500.00000000000006,5.984171408846778E-8+7.975118918942533E-5i
1,900,500.00000000000006,5.89467432417035E-8+7.872431732431191E-5i
1,910,500.00000000000006,5.808201798867001E-8+7.771243670810047E-5i
1,920,500.00000000000006,5.7245196453858554E-8+7.671408801022878E-5i
1,930,500.00000000000006,5.6433167255147106E-8+7.572770023801642E-5i
1,940,500.00000000000006,5.564173634521428E-8+7.475155448059779E-5i
1,950,500.00000000000006,5.4865178379810486E-8+7.37837371322588E-5i
