% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 9 2023, 17:38"
% Table,sweep10kd1 - 
% freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
4780,11000,-4.920184606834066E-6-8.834252838882337E-4i
4790,11000,-5.1601548069387055E-6-0.0011299260471287432i
4800,11000,-5.547701420784893E-6-0.0013849658880765883i
4810,11000,-6.0955162816613654E-6-0.0016611833335189344i
4820,11000,-6.845306805235685E-6-0.0019718042250444507i
4830,11000,-7.875374844580224E-6-0.0023333721471065503i
4840,11000,-9.32383663282597E-6-0.0027692302270684336i
4850,11000,-1.1441443792755355E-5-0.0033154164529430245i
4860,11000,-1.471593176393675E-5-0.004032380055627293i
4870,11000,-2.0199137072045474E-5-0.005031478230832363i
4880,11000,-3.052473434367798E-5-0.0065445772898406855i
4890,11000,-5.3985100975042346E-5-0.00914978601191242i
4900,11000,-1.296487502087558E-4-0.01480704169394922i
4910,11000,-7.588213171369196E-4-0.037135633742137075i
4920,11000,-0.0030194517545138098+0.07615997536021533i
4930,11000,-1.7723796374539852E-4+0.018828869773945375i
4940,11000,-5.590590717389666E-5+0.010675884057769714i
4950,11000,-2.6825054196904E-5+0.007380587310554252i
4960,11000,-1.5763842449701838E-5+0.005572530518258093i
4970,11000,-1.049764410113253E-5+0.004410084721987545i
4980,11000,-7.641618830127028E-6+0.0035819986688918927i
4990,11000,-5.967627792357149E-6+0.0029447644549162847i
5000,11000,-4.952232463342765E-6+0.0024206815521605465i
5010,11000,-4.354896912325947E-6+0.001960470768329549i
5020,11000,-4.077300227459417E-6+0.0015255286453631294i
5030,11000,-4.131610441476115E-6+0.0010747507053468607i
5040,11000,-4.711208084358334E-6+5.444947434958804E-4i
5050,11000,-6.60015938053056E-6-2.088659936405876E-4i
5060,11000,-1.4091450924850142E-5-0.001684913296835577i
5070,11000,-1.072781438799454E-4-0.00820815539732049i
5080,11000,-1.2601036599930464E-4+0.011619103209887918i
5090,11000,-1.5739229585593693E-5+0.0045458541547909485i
5100,11000,-7.102528671592636E-6+0.003073699132318402i
5110,11000,-4.690881290773278E-6+0.002385670159739762i
5120,11000,-3.6835770005091593E-6+0.0019607692346019306i
5130,11000,-3.1701949804290943E-6+0.0016572997053326398i
5140,11000,-2.87779385332655E-6+0.0014204880576350785i
5150,11000,-2.7009381350316733E-6+0.0012244834105405614i
5160,11000,-2.5916754689387307E-6+0.0010553580675485346i
5170,11000,-2.5255640928378826E-6+9.0485053697111E-4i
5180,11000,-2.4890729355284886E-6+7.676808440641141E-4i
5190,11000,-2.47425011685535E-6+6.402621503921586E-4i
5200,11000,-2.476230777514671E-6+5.20026620921047E-4i
5210,11000,-2.4919787149644958E-6+4.050471221508789E-4i
5220,11000,-2.519612081243614E-6+2.938119399543572E-4i
5230,11000,-2.5580262694632646E-6+1.850832680341043E-4i
5240,11000,-2.6066782089702937E-6+7.780361908507331E-5i
5250,11000,-2.665464269452056E-6-2.8969498883368617E-5i
5260,11000,-2.734656739130436E-6-1.3611202847245836E-4i
5270,11000,-2.814880769944251E-6-2.444719276513037E-4i
5280,11000,-2.90712325953826E-6-3.549024756810909E-4i
5290,11000,-3.0127712834999175E-6-4.6829368876944843E-4i
5300,11000,-3.1336826366062108E-6-5.856046432899891E-4i
5310,11000,-3.2722962358067413E-6-7.078994164840048E-4i
5320,11000,-3.4317972099005754E-6-8.363896918357807E-4i
5330,11000,-3.616363142002784E-6-9.724878966775413E-4i
5340,11000,-3.8315400322929845E-6-0.0011178762446010352i
5350,11000,-4.0848449058974195E-6-0.0012745997151028942i
5360,11000,-4.386817202324499E-6-0.0014451959788990105i
5370,11000,-4.753144758089119E-6-0.0016328861486610332i
5380,11000,-5.210245739457912E-6-0.0018418826900004012i
5390,11000,-5.818784251708403E-6-0.0020780391758767206i
5400,11000,-6.961514025478085E-6-0.0023525669570707195i
5410,11000,-6.528336804521259E-6-0.002640107142655727i
5420,11000,-7.899525072130042E-6-0.0030192565457704073i
5430,11000,-9.43474667409573E-6-0.003468159978645518i
5440,11000,-1.1513429713850616E-5-0.004025855313420889i
5450,11000,-1.4548342430289912E-5-0.00474442731200422i
5460,11000,-1.9307923764757288E-5-0.0057132552375316744i
5470,11000,-2.7487947442521745E-5-0.007102047397165258i
5480,11000,-4.3537609267094966E-5-0.0092780834598669i
5490,11000,-8.259466055055402E-5-0.013212360670009608i
5500,11000,-2.277956396165186E-4-0.022586185929280665i
5510,11000,-0.002399499765936353-0.07506164806565338i
5520,11000,-0.0013494501562025495+0.05737577954786371i
5530,11000,-1.7229721047407737E-4+0.02077672598083902i
5540,11000,-6.303233929013012E-5+0.012653060451548022i
5550,11000,-3.232211073068916E-5+0.009061984934271246i
5560,11000,-1.9703387420578434E-5+0.007026297891238409i
5570,11000,-1.3379783507727597E-5+0.005707658216240101i
5580,11000,-9.79726476790101E-6+0.004778274969466416i
5590,11000,-7.591831132438253E-6+0.004083580255661817i
5600,11000,-6.15088871871356E-6+0.003541134091253109i
5610,11000,-5.166967338692377E-6+0.0031029269262500413i
5620,11000,-4.4723824066146E-6+0.00273908508523133i
5630,11000,-3.969597406658794E-6+0.0024300272346594047i
5640,11000,-3.598887296240249E-6+0.0021623645501120015i
5650,11000,-3.3221214419591616E-6+0.0019266128238453178i
5660,11000,-3.114107662817784E-6+0.0017158455239412718i
5670,11000,-2.957728393696685E-6+0.0015248642949854015i
5680,11000,-2.841088148226929E-6+0.0013496677357222647i
5690,11000,-2.7557801656199336E-6+0.0011870988746199341i
5700,11000,-2.6958029883682403E-6+0.0010346029707034871i
5710,11000,-2.6568701265938156E-6+8.90054754162417E-4i
5720,11000,-2.635968324293449E-6+7.51629415248774E-4i
5730,11000,-2.6310827536331166E-6+6.177000687706438E-4i
5740,11000,-2.641045814358579E-6+4.8674874491883084E-4i
5750,11000,-2.6654938867622905E-6+3.572793274320134E-4i
5760,11000,-2.7049435653161945E-6+2.2771932811833457E-4i
5770,11000,-2.7610378324862155E-6+9.629174340439675E-5i
5780,11000,-2.837086867906904E-6-3.917503720211758E-5i
5790,11000,-2.9391958619469264E-6-1.815611965028844E-4i
5800,11000,-3.0786988758783788E-6-3.3502560072160763E-4i
5810,11000,-3.2778367008561563E-6-5.06144263841547E-4i
5820,11000,-3.584615903869246E-6-7.064461412966069E-4i
5830,11000,-4.118526095055037E-6-9.589113685052359E-4i
5840,11000,-5.249099258595806E-6-0.0013182834949828494i
5850,11000,-8.631642039281614E-6-0.0019584588696880696i
5860,11000,-3.156752836077707E-5-0.003902822033945394i
5870,11000,-5.816910838184942E-4+0.013934062026726243i
5880,11000,-1.8621827731660154E-5+0.0014628651819148816i
5890,11000,-8.578131754851251E-6+2.845077695363651E-4i
5900,11000,-6.510167230215127E-6-2.4594586609399586E-4i
5910,11000,-5.926951314310577E-6-6.017557171241529E-4i
5920,11000,-5.865548890258957E-6-8.934896045753646E-4i
5930,11000,-6.085520573332322E-6-0.0011631012340736749i
5940,11000,-6.5278993032083366E-6-0.0014329039912527827i
5950,11000,-7.210451831413529E-6-0.001719411783242948i
5960,11000,-8.214470217537165E-6-0.0020394933187008074i
5970,11000,-9.7180052650256E-6-0.0024155526353234528i
5980,11000,-1.2108680625287545E-5-0.0028838755786839243i
5990,11000,-1.6367686080432467E-5-0.0035151952046300703i
6000,11000,-2.604295134649735E-5-0.004491360561463805i
6010,11000,-9.385157505224782E-5-0.007010384057765809i
6020,11000,-6.180150260029733E-5-0.007164330921289555i
6030,11000,-4.341333417154688E-4-0.019296954604948423i
6040,11000,-7.462628348420331E-4+0.02238048832901599i
6050,11000,-6.477500212102437E-5+0.005111955469403004i
6060,11000,-2.358591348729307E-5+0.001781414566386326i
6070,11000,-1.399260130091489E-5+1.3527301831979923E-4i
6080,11000,-1.124864379640677E-5-0.0010356633753377503i
6090,11000,-1.1229148817569884E-5-0.002086142351955592i
6100,11000,-1.3179384400154933E-5-0.003208319614783602i
6110,11000,-1.7728796404647532E-5-0.004597074566341818i
6120,11000,-2.7539490624338623E-5-0.0065833746952159026i
6130,11000,-5.224584027255613E-5-0.009977401707579976i
6140,11000,-1.447741998737073E-4-0.017758737482881672i
6150,11000,-0.001446827020679172-0.058780307855721324i
6160,11000,-0.0010368655784333829+0.05127753246147797i
6170,11000,-1.2925489905797215E-4+0.018404579343248382i
6180,11000,-4.851172293433903E-5+0.011322555217052227i
6190,11000,-2.5744144363468187E-5+0.00819187017917751i
6200,11000,-1.6289871031370586E-5+0.006405620736547117i
6210,11000,-1.1491874536361396E-5+0.005237872196463314i
6220,11000,-8.738427488947915E-6+0.004406132511694011i
6230,11000,-7.022688969361541E-6+0.003777442674601457i
6240,11000,-5.889708177626613E-6+0.003280897174373008i
6250,11000,-5.109529454346092E-6+0.0028751592667056237i
6260,11000,-4.555795796892091E-6+0.0025344565072423974i
6270,11000,-4.1544445057556165E-6+0.002241850514366165i
6280,11000,-3.859786078273591E-6+0.001985722257668699i
6290,11000,-3.64245274621144E-6+0.0017578114899012669i
6300,11000,-3.482934607380395E-6+0.0015520626555301903i
6310,11000,-3.367929360297132E-6+0.0013639142721504208i
6320,11000,-3.2881908664880937E-6+0.001189844194353359i
6330,11000,-3.2372155297354804E-6+0.0010270686022398143i
6340,11000,-3.210417280449523E-6+8.733365241356298E-4i
6350,11000,-3.2045988272392303E-6+7.267854125953163E-4i
6360,11000,-3.217609588086536E-6+5.858365947973619E-4i
6370,11000,-3.2481263204574017E-6+4.491171308811591E-4i
6380,11000,-3.295518748122047E-6+3.153991990878421E-4i
6390,11000,-3.359778466343602E-6+1.8355088934240402E-4i
6400,11000,-3.4414999156264374E-6+5.24939355618093E-5i
6410,11000,-3.5419100783119655E-6-7.883516321117655E-5i
6420,11000,-3.6629505746399774E-6-2.1152379521083213E-4i
6430,11000,-3.8074237753626086E-6-3.4672489846125556E-4i
6440,11000,-3.979225155274502E-6-4.857054427942802E-4i
6450,11000,-4.183700425990328E-6-6.299067745059788E-4i
6460,11000,-4.428193008519133E-6-7.810241152306553E-4i
6470,11000,-4.72289483783597E-6-9.411164662299763E-4i
6480,11000,-5.082200834506463E-6-0.0011127652077149819i
6490,11000,-5.526936188439557E-6-0.0012993125693264347i
6500,11000,-6.0881696629809555E-6-0.0015052357585879342i
6510,11000,-6.8140716261464815E-6-0.0017367620888436152i
6520,11000,-7.783012086660354E-6-0.0020029368608762053i
6530,11000,-9.130509918370929E-6-0.0023176029152009725i
6540,11000,-1.1110166429227195E-5-0.00270338356091417i
6550,11000,-1.4249558558729419E-5-0.003200595099449854i
6560,11000,-1.9822874439904866E-5-0.003890291308815254i
6570,11000,-3.1693166294703596E-5-0.00496781800517063i
6580,11000,-6.729440006311756E-5-0.007074761996673554i
6590,11000,-3.353002234921132E-4-0.014500806387987682i
6600,11000,-0.0013931681681196668+0.02346953060403638i
6610,11000,-7.244146758882551E-5+0.0026360648204234016i
6620,11000,-2.8516846811003063E-5-0.001022948424290571i
6630,11000,-2.78208847645482E-5-0.0036862595697016746i
6640,11000,-5.786584640935498E-5-0.007685592966888816i
6650,11000,-3.7453235867375764E-4-0.022022039530451263i
6660,11000,-0.0011216941274430124+0.03866501734578219i
6670,11000,-8.753214661232067E-5+0.010323475264570073i
6680,11000,-3.1941951970196396E-5+0.00567092108825384i
6690,11000,-1.764317646546674E-5+0.0036360093034479217i
6700,11000,-1.201219444085238E-5+0.0024209341359049874i
6710,11000,-9.356155178336828E-6+0.0015599543427719548i
6720,11000,-8.048398266523217E-6+8.735158601510002E-4i
6730,11000,-7.504539563957083E-6+2.7245243472437126E-4i
6740,11000,-7.511867312386738E-6-2.99130667026976E-4i
6750,11000,-8.04834833789502E-6-8.871519872982185E-4i
6760,11000,-9.264768211898604E-6-0.001542703986763748i
6770,11000,-1.1601736784671083E-5-0.0023410645617331295i
6780,11000,-1.6227730466176545E-5-0.003422386297495116i
6790,11000,-2.6786440645965067E-5-0.0051141818034611645i
6800,11000,-5.953586037288734E-5-0.008458573457259514i
6810,11000,-2.8596644328711835E-4-0.019712887701995526i
6820,11000,-0.004141831787557275+0.0763281284736754i
6830,11000,-1.2215277661139346E-4+0.01273829004798782i
6840,11000,-3.8785630642124265E-5+0.006547746049417625i
6850,11000,-2.0828068469416214E-5+0.00399854399402527i
6860,11000,-1.5074689724214391E-5+0.002411219538358312i
6870,11000,-1.4230482739727767E-5+0.0010813682257930465i
6880,11000,-1.8855631124887596E-5-4.646474018990834E-4i
6890,11000,-4.5169346733138695E-5-0.0033800254993639344i
6900,11000,-8.56978800984151E-4-0.023892561172593i
6910,11000,-1.3562073331890203E-4+0.011566524603833138i
6920,11000,-2.7967751696410692E-5+0.005508672384193215i
6930,11000,-1.3881043224985733E-5+0.0037406842261614127i
6940,11000,-9.411612911972833E-6+0.0028198211729645517i
6950,11000,-7.446834297485822E-6+0.0022155577263846997i
6960,11000,-6.437187268601653E-6+0.0017656771110842115i
6970,11000,-5.883398598856168E-6+0.0014028264349620566i
6980,11000,-5.5847751283206255E-6+0.0010933442030397068i
6990,11000,-5.448978776044872E-6+8.180473984421798E-4i
7000,11000,-5.430399823807087E-6+5.647915567662083E-4i
7010,11000,-5.506710700095472E-6+3.2512516253975455E-4i
7020,11000,-5.669048795117173E-6+9.258885193559545E-5i
7030,11000,-5.9178934025802965E-6-1.3826060823841628E-4i
7040,11000,-6.261802136684803E-6-3.724984544836896E-4i
7050,11000,-6.7180507385544245E-6-6.15352476642917E-4i
7060,11000,-7.31513298699658E-6-8.727247519947956E-4i
7070,11000,-8.09781798866044E-6-0.0011518335102823297i
7080,11000,-9.136525219780477E-6-0.0014621339443875044i
7090,11000,-1.0544884514060944E-5-0.0018167884401943898i
7100,11000,-1.2514197168447135E-5-0.002235215539336562i
7110,11000,-1.5385917832264156E-5-0.0027478621409249967i
7120,11000,-1.981876669128486E-5-0.0034059311573822874i
7130,11000,-2.722380200300456E-5-0.004303408726487503i
7140,11000,-4.110313844388846E-5-0.005634471646103663i
7150,11000,-7.232200638603693E-5-0.00787692964646818i
7160,11000,-1.7054261443495293E-4-0.012610956611359492i
7170,11000,-9.105756596542346E-4-0.030039653529626693i
7180,11000,-0.006460757650574679+0.0813544924718224i
7190,11000,-2.824273578493793E-4+0.01717966065709381i
7200,11000,-8.65843156339084E-5+0.009451723007738241i
7210,11000,-4.13836771829373E-5+0.006397359571487076i
7220,11000,-2.4397050028226557E-5+0.004730939317846432i
7230,11000,-1.6331488023501425E-5+0.003660572886399218i
7240,11000,-1.1938822931906497E-5+0.0028992493828512373i
7250,11000,-9.326448531304597E-6+0.0023174942770738363i
7260,11000,-7.680479629226473E-6+0.001848031290238057i
7270,11000,-6.606146279954844E-6+0.001452130410816042i
7280,11000,-5.89490151660434E-6+0.001105581858130256i
7290,11000,-5.429959115902134E-6+7.920883395959332E-4i
7300,11000,-5.143969613003738E-6+4.998181169677242E-4i
7310,11000,-4.9988267674279995E-6+2.1941189170271091E-4i
7320,11000,-4.976048903936321E-6-5.7335310980188716E-5i
7330,11000,-5.073194615421881E-6-3.385420390774654E-4i
7340,11000,-5.305147530396332E-6-6.33382351868639E-4i
7350,11000,-5.711958823903428E-6-9.537119372942346E-4i
7360,11000,-6.380238476555985E-6-0.0013169777058860417i
7370,11000,-7.500948906811972E-6-0.0017524329369179616i
7380,11000,-9.548320538220607E-6-0.002316899546928838i
7390,11000,-1.3984369224554404E-5-0.0031444324740969904i
7400,11000,-2.7458136387090478E-5-0.004666222539613795i
7410,11000,-1.266763480753372E-4-0.009618896655220489i
7420,11000,-9.172882317540225E-4+0.02037730645295637i
7430,11000,-4.763444673873076E-5+0.002303826466302032i
7440,11000,-2.2527779529783906E-5-3.329778614824804E-4i
7450,11000,-1.9859164263506108E-5-0.0019122518880164315i
7460,11000,-2.458212253573449E-5-0.003500384084414124i
7470,11000,-4.035105465442497E-5-0.0057615923190575714i
7480,11000,-9.863647330877472E-5-0.010374336045009171i
7490,11000,-7.244495651906402E-4-0.03033103058312379i
7500,11000,-0.0011953587552273762+0.04008761362283044i
7510,11000,-1.1384331721121898E-4+0.012242984752469063i
7520,11000,-4.215177850456728E-5+0.007112154350503825i
7530,11000,-2.3263457214731974E-5+0.004877467820885151i
7540,11000,-1.5731041114161286E-5+0.0035821788835845095i
7550,11000,-1.2065702008084502E-5+0.0027072032148782324i
7560,11000,-1.008761369966019E-5+0.002054633402586558i
7570,11000,-8.978111560401534E-6+0.001531828669926319i
7580,11000,-8.377993374374298E-6+0.0010889360434033686i
7590,11000,-8.114660986330405E-6+6.960345144814062E-4i
7600,11000,-8.103344519989785E-6+3.3330822497595794E-4i
7610,11000,-8.307253001360901E-6-1.3764163928907392E-5i
7620,11000,-8.721350888749009E-6-3.5709157354222795E-4i
7630,11000,-9.367813690477915E-6-7.07738964072317E-4i
7640,11000,-1.0299739981089534E-5-0.0010774050510774984i
7650,11000,-1.161443931370067E-5-0.001480062160734513i
7660,11000,-1.3483219954222517E-5-0.0019343007990261251i
7670,11000,-1.621667148698697E-5-0.0024673603522770396i
7680,11000,-2.041865700234848E-5-0.0031231025812518093i
7690,11000,-2.739903411161873E-5-0.003980096888821331i
7700,11000,-4.0511055915770704E-5-0.005200236175231636i
7710,11000,-7.098026363796225E-5-0.007196527622452274i
7720,11000,-1.8172774140258718E-4-0.011532835130043207i
7730,11000,-0.0023951063439150945-0.03787631961273841i
7740,11000,-4.8077253299285056E-4+0.010257428024087816i
7750,11000,-1.1923118504471711E-4-0.003328931506153934i
7760,11000,-3.7012775272427363E-4-0.01873737084511633i
7770,11000,-0.006495724351220161+0.09638189129978854i
7780,11000,-2.0150221450576186E-4+0.017916842631060352i
7790,11000,-6.640590711292579E-5+0.010346695130144514i
7800,11000,-3.434957883143338E-5+0.007297157591748466i
7810,11000,-2.1801704436330235E-5+0.005567031407068254i
7820,11000,-1.574420377767195E-5+0.004395917053796146i
7830,11000,-1.2659439512458399E-5+0.003495096137429437i
7840,11000,-1.1523037570546563E-5+0.0027060554104378835i
7850,11000,-1.2892912253985088E-5+0.0018716165197445007i
7860,11000,-2.3186370392596163E-5+5.942346197343642E-4i
7870,11000,-2.35246303171701E-4-0.005344937231264701i
7880,11000,-8.799599968296053E-5+0.006698720621829306i
7890,11000,-1.6883196809197975E-5+0.0035964644325887584i
7900,11000,-8.99010468218946E-6+0.00268625231197698i
7910,11000,-6.522171132862561E-6+0.0021693778324245977i
7920,11000,-5.40591116792533E-6+0.0017990780344945745i
7930,11000,-4.80041507388944E-6+0.0015019527680909873i
7940,11000,-4.4401895597888615E-6+0.0012475545724531401i
7950,11000,-4.218432153752906E-6+0.0010204596013715802i
7960,11000,-4.084876240412669E-6+8.116887682305658E-4i
7970,11000,-4.013254149697957E-6+6.15426459352774E-4i
7980,11000,-3.988941870233875E-6+4.275567382064232E-4i
7990,11000,-4.0036455267155415E-6+2.4492697123553863E-4i
8000,11000,-4.052916144978893E-6+6.49361061479222E-5i
8010,11000,-4.13494640147545E-6-1.1472164499794363E-4i
8020,11000,-4.2500280388733785E-6-2.9623755495751167E-4i
8030,11000,-4.400415308919875E-6-4.8183655058662195E-4i
8040,11000,-4.590512138374906E-6-6.739208669255831E-4i
8050,11000,-4.827410906506711E-6-8.75233444263343E-4i
8060,11000,-5.121924633850914E-6-0.0010890696291283209i
8070,11000,-5.490434340384864E-6-0.0013195797767421664i
8080,11000,-5.958231759553865E-6-0.0015722363782664536i
8090,11000,-6.565847846319932E-6-0.001854606366620018i
8100,11000,-7.381891188014483E-6-0.0021777223652381878i
8110,11000,-8.531658594995875E-6-0.0025587304707916404i
8120,11000,-1.026956138581301E-5-0.003026585383921886i
8130,11000,-1.3198602695071187E-5-0.0036362741083885313i
8140,11000,-1.9144757893045684E-5-0.004513302004674065i
8150,11000,-3.678171920516045E-5-0.0060584313982419745i
8160,11000,-2.0684371840215345E-4-0.011327562778330665i
8170,11000,-2.638790809022001E-4+0.002109980839113806i
8180,11000,-7.376117867052895E-5-0.005804420830408751i
8190,11000,-2.2473714663187794E-4-0.014324910177448599i
8200,11000,-0.02075647687619035+0.12940743794129025i
8210,11000,-1.8351509517271753E-4+0.009625920664976851i
8220,11000,-6.637167690789447E-5+0.0035954125875823895i
8230,11000,-4.414654109558927E-5+0.0010538177017941415i
8240,11000,-3.927704623135867E-5-6.491234482061178E-4i
8250,11000,-4.1925862446055885E-5-0.0021495106529375316i
8260,11000,-5.1539971805582054E-5-0.0037729189492920253i
8270,11000,-7.283755177718734E-5-0.005872117868772037i
8280,11000,-1.231030364151826E-4-0.009143782845012906i
8290,11000,-2.8222758462181127E-4-0.01575394632117975i
8300,11000,-0.0014462308089115115-0.039230052103566296i
8310,11000,-0.012481003008435418+0.12331520833916676i
8320,11000,-4.8340793820034076E-4+0.025738197246616846i
8330,11000,-1.4540371029507818E-4+0.014678891928261075i
8340,11000,-6.855226313161597E-5+0.010346400561982643i
8350,11000,-3.978540834201736E-5+0.007998160957587395i
8360,11000,-2.6104265122421033E-5+0.006503512219750281i
8370,11000,-1.8604060990252416E-5+0.005454557108692283i
8380,11000,-1.4087662273447101E-5+0.004667850070341622i
8390,11000,-1.118277669118409E-5+0.004048447493760951i
8400,11000,-9.223057042099119E-6+0.003542110937287592i
8410,11000,-7.854320416615471E-6+0.0031154660699427975i
8420,11000,-6.874929447984047E-6+0.002746724507609457i
8430,11000,-6.163880966125615E-6+0.0024209320674531127i
8440,11000,-5.645656722417557E-6+0.0021273493278318226i
8450,11000,-5.271928064941505E-6+0.001857911655340022i
8460,11000,-5.011601144126203E-6+0.0016062642958393474i
8470,11000,-4.8453097804442556E-6+0.0013671105320678437i
8480,11000,-4.7625174528721E-6+0.0011357227495082016i
8490,11000,-4.760418807327719E-6+9.075153682238875E-4i
8500,11000,-4.844485734038741E-6+6.775900964702636E-4i
8510,11000,-5.0311686280689564E-6+4.4014029399896834E-4i
8520,11000,-5.354406740356648E-6+1.8752151752141828E-4i
8530,11000,-5.880306420702005E-6-9.141006705012657E-5i
8540,11000,-6.742012624796576E-6-4.146339161678585E-4i
8550,11000,-8.232255199662006E-6-8.145231152176202E-4i
8560,11000,-1.1093692134086905E-5-0.0013577322382989216i
8570,11000,-1.7693239485189375E-5-0.002209930485701917i
8580,11000,-3.936016623063912E-5-0.00393491844358407i
8590,11000,-2.2700938139165995E-4-0.01052653858161049i
8600,11000,-7.973232560901102E-4+0.020460187820540997i
8610,11000,-5.4521325126037036E-5+0.0051563321348278455i
8620,11000,-2.009762079674576E-5+0.0027957356391758296i
8630,11000,-1.1720482468584332E-5+0.0017668534530259614i
8640,11000,-8.554514664984009E-6+0.0011475235710671102i
8650,11000,-7.101962740739903E-6+7.050800599948687E-4i
8660,11000,-6.383220436723854E-6+3.5285110965244907E-4i
8670,11000,-6.040395486775909E-6+5.063821570137199E-5i
8680,11000,-5.920439887596212E-6-2.2328916617106215E-4i
8690,11000,-5.95222688302902E-6-4.8227723508454393E-4i
8700,11000,-6.103041296644886E-6-7.356073465967569E-4i
8710,11000,-6.3616025561706676E-6-9.906558754277173E-4i
8720,11000,-6.731900116770929E-6-0.0012542003275195332i
8730,11000,-7.233079728595101E-6-0.001533468538467539i
8740,11000,-7.905402052299967E-6-0.001837354812952116i
8750,11000,-8.827498626345644E-6-0.0021783928214120225i
8760,11000,-1.0164098986013752E-5-0.0025768632227158596i
8770,11000,-1.232014493222485E-5-0.0030713817166387754i
8780,11000,-1.659931952397959E-5-0.0037541013560869743i
8790,11000,-2.9841762657576087E-5-0.004946268342163074i
8800,11000,-1.9159379832930267E-4-0.009561798622379524i
8810,11000,-1.7297707168966204E-4+0.0016733652008811787i
8820,11000,-4.20533917558178E-5-0.002701203695718443i
8830,11000,-6.637067375681658E-5-0.004480214330821174i
8840,11000,-3.612243624860267E-5-0.0056963723209773045i
8850,11000,-5.28011937192056E-5-0.007624564297451359i
8860,11000,-9.256776235673014E-5-0.010625171484280287i
8870,11000,-2.275742014773427E-4-0.01693081411381926i
8880,11000,-0.0016315664138840018-0.044214500885417916i
8890,11000,-0.0024595989924092797+0.04969920900092443i
8900,11000,-2.3103890612154223E-4+0.012368364381080724i
8910,11000,-9.082822692300116E-5+0.004697465309847649i
8920,11000,-6.405522512281267E-5+3.8586127854233897E-4i
8930,11000,-7.362899085464668E-5-0.0036976738452832864i
8940,11000,-1.4111094305498665E-4-0.009919928061632414i
8950,11000,-6.294534079186315E-4-0.028213093974839565i
8960,11000,-0.016617020343851083+0.16901930024814077i
8970,11000,-3.347199169907655E-4+0.02638210534306215i
8980,11000,-1.0067058138872355E-4+0.015256545912057277i
8990,11000,-4.929905106742179E-5+0.011000524861565334i
9000,11000,-2.9902735810163033E-5+0.008689056620261808i
9010,11000,-2.0476364339138732E-5+0.0072063046932895275i
9020,11000,-1.5170707807995351E-5+0.0061571038235394135i
9030,11000,-1.1885444474243615E-5+0.005364917811357256i
9040,11000,-9.712019773457378E-6+0.0047384791114581i
9050,11000,-8.203767181732361E-6+0.0042255760601407275i
9060,11000,-7.119543280280001E-6+0.0037940250356721366i
9070,11000,-6.319519087006943E-6+0.0034228137200788796i
9080,11000,-5.717931028456389E-6+0.0030975799223409025i
9090,11000,-5.25975479752202E-6+0.0028081305564899004i
9100,11000,-4.90837600820866E-6+0.0025469983732471935i
9110,11000,-4.638698475870969E-6+0.002308560890721236i
9120,11000,-4.4331086336644705E-6+0.002088480159783319i
9130,11000,-4.27901863680799E-6+0.0018833337754639076i
9140,11000,-4.167321288816051E-6+0.0016903641548751782i
9150,11000,-4.091392465678447E-6+0.0015073032474958515i
9160,11000,-4.046434260724664E-6+0.0013322465983167152i
9170,11000,-4.0290376392493755E-6+0.0011635603420442548i
9180,11000,-4.036891917936526E-6+9.99810443904897E-4i
9190,11000,-4.068596947935702E-6+8.397069896288847E-4i
9200,11000,-4.123551573236643E-6+6.820584709933226E-4i
9210,11000,-4.201903634445395E-6+5.257323176837384E-4i
9220,11000,-4.3045553984874315E-6+3.6961867078019E-4i
9230,11000,-4.433225730575269E-6+2.1259472371099852E-4i
9240,11000,-4.5905781904724864E-6+5.3486927978332044E-5i
9250,11000,-4.78043428451116E-6-1.0897204872514116E-4i
9260,11000,-5.008105881660174E-6-2.7619562523662183E-4i
9270,11000,-5.280904546288685E-6-4.4981051477186357E-4i
9280,11000,-5.608926133147265E-6-6.317473047535406E-4i
9290,11000,-6.0062817928886185E-6-8.243677686559117E-4i
9300,11000,-6.493083324322891E-6-0.0010306509486081184i
9310,11000,-7.098760746981284E-6-0.0012544759905153504i
9320,11000,-7.867853177263087E-6-0.001501070340322396i
9330,11000,-8.87066845049832E-6-0.0017777540311743035i
9340,11000,-1.0224229073174425E-5-0.002095245369631913i
9350,11000,-1.2136948457757728E-5-0.002470109490253336i
9360,11000,-1.5014641959548957E-5-0.002929754352163433i
9370,11000,-1.9751641224970106E-5-0.0035238347995996374i
9380,11000,-2.8725017796713014E-5-0.00435483601648793i
9390,11000,-5.077027751717001E-5-0.005685290488861062i
9400,11000,-1.693503773540131E-4-0.008664083275155878i
9410,11000,-2.8116363505085567E-4-0.010442872863146433i
9420,11000,-0.36973413010837836-0.2981358445062839i
9430,11000,-2.185205713832883E-4+0.008870558125117743i
9440,11000,-6.137315836638569E-5+0.002790705506159374i
9450,11000,-3.4129347079406676E-5+4.1874079187530043E-4i
9460,11000,-2.6866709584126358E-5-0.0011182393919433548i
9470,11000,-2.6613282392024824E-5-0.0024417583522952954i
9480,11000,-3.127600231364337E-5-0.003838878830690203i
9490,11000,-4.268898594620627E-5-0.00558424956938383i
9500,11000,-6.890265061498035E-5-0.008162949886055646i
9510,11000,-1.4308622769795883E-4-0.012898510844381761i
9520,11000,-5.151217172243683E-4-0.025954429630417438i
