% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 9 2023, 17:38"
% Table,sweep10kd1 - 
% freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity"
510,11000,3.7110682612799987E-5+0.012545024577264648i
520,11000,3.545314345286896E-5+0.012208662728366572i
530,11000,3.389817608185132E-5+0.011888934561326217i
540,11000,3.243721716841913E-5+0.011584489860764567i
550,11000,3.106258610180577E-5+0.011294119979620975i
560,11000,2.976737633209295E-5+0.011016739226029873i
570,11000,2.854536206823639E-5+0.010751369100898222i
580,11000,2.7390917889404014E-5+0.01049712488485483i
590,11000,2.6298949252902988E-5+0.010253204171292822i
600,11000,2.5264832229251378E-5+0.010018877019138209i
610,11000,2.4284361076877992E-5+0.009793477459689393i
620,11000,2.3353702498364735E-5+0.009576396140095185i
630,11000,2.2469355609068967E-5+0.009367073924524178i
640,11000,2.162811680329623E-5+0.009164996304974358i
650,11000,2.082704883055312E-5+0.008969688498589607i
660,11000,2.0063453500449054E-5+0.00878071112849355i
670,11000,1.93348475218167E-5+0.008597656401551452i
680,11000,1.8638941054429254E-5+0.008420144709812172i
690,11000,1.797361861272117E-5+0.008247821593265061i
700,11000,1.7336922011115434E-5+0.008080355010450794i
710,11000,1.6727035083173347E-5+0.007917432870704136i
720,11000,1.6142269942096236E-5+0.007758760787691656i
730,11000,1.558105457965091E-5+0.007604060018635212i
740,11000,1.5041921625056374E-5+0.007453065557358872i
750,11000,1.4523498105890735E-5+0.007305524352170299i
760,11000,1.402449606921687E-5+0.007161193621699923i
770,11000,1.3543703934747451E-5+0.007019839243187355i
780,11000,1.307997846162006E-5+0.0068812341883931i
790,11000,1.263223721780217E-5+0.006745156982274325i
800,11000,1.2199451445417927E-5+0.006611390158785049i
810,11000,1.1780639216648228E-5+0.006479718686549827i
820,11000,1.1374858773168009E-5+0.006349928334594695i
830,11000,1.0981201936543022E-5+0.006221803944620785i
840,11000,1.0598787467471499E-5+0.006095127571218677i
850,11000,1.0226754236697756E-5+0.005969676444601461i
860,11000,9.864254049187453E-6+0.005845220701387436i
870,11000,9.510443932984466E-6+0.005721520817062399i
880,11000,9.16447766300578E-6+0.005598324658065472i
890,11000,8.825496234200576E-6+0.0054753640507496345i
900,11000,8.492616921247527E-6+0.005352350737044561i
910,11000,8.164920457622916E-6+0.005228971550051338i
920,11000,7.841435722099555E-6+0.005104882593619123i
930,11000,7.5211211203335694E-6+0.004979702143254314i
940,11000,7.202841568042427E-6+0.004853001894375757i
950,11000,6.885339583765302E-6+0.004724296057467507i
960,11000,6.567198426875253E-6+0.004593027622514654i
970,11000,6.246794383041435E-6+0.004458550863627678i
980,11000,5.922234067141188E-6+0.0043201087927409905i
990,11000,5.591270759991994E-6+0.004176803741970627i
1000,11000,5.251190955452782E-6+0.004027558467215029i
1010,11000,4.898657854050977E-6+0.0038710639734968774i
1020,11000,4.5294914381959425E-6+0.0037057084197472372i
1030,11000,4.138353121884076E-6+0.0035294785471276i
1040,11000,3.71828334545272E-6+0.003339820351527999i
1050,11000,3.2600063704071634E-6+0.00313343784589945i
1060,11000,2.750855105917922E-6+0.0029059952081868247i
1070,11000,2.1730537219402677E-6+0.0026516634465477617i
1080,11000,1.5008701410177027E-6+0.002362407816159002i
1090,11000,6.956839125985347E-7+0.0020268247421387302i
1100,11000,-3.030117549545972E-7+0.0016281567807535425i
1110,11000,-1.5950889349613761E-6+0.00114071735269117i
1120,11000,-3.356477837601286E-6+5.230098643114699E-4i
1130,11000,-5.924178409605824E-6-2.966741352589569E-4i
1140,11000,-1.0020590715071522E-5-0.0014539049281136246i
