% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 13:15"
% Table,Accumulated Probe Table 5 - 
% d1 (m),m,freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0.03,0,750,0,0,13000.000000000002,-7.703474887163036E-9+0.005526338992715029i,21.069681659929238-6.821887823187218i
0.03,0,760,0,0,13000.000000000002,-7.657627868511463E-9+0.005425377720837896i,21.149759457879718-6.821887899149255i
0.03,0,770,0,0,13000.000000000002,-7.61424309465137E-9+0.005327657583974045i,21.22869863876944-6.8218879762221185i
0.03,0,780,0,0,13000.000000000002,-7.573179970114518E-9+0.0052330023226893245i,21.30655488550805-6.821888054419847i
0.03,0,790,0,0,13000.000000000002,-7.534310666266856E-9+0.005141248080862389i,21.383381086288757-6.821888133759584i
0.03,0,800,0,0,13000.000000000002,-7.49751895541309E-9+0.005052242293298342i,21.45922757169891-6.821888214261606i
0.03,0,810,0,0,13000.000000000002,-7.462699186741331E-9+0.004965842690185856i,21.534142331702572-6.821888295949324i
0.03,0,820,0,0,13000.000000000002,-7.429755386306885E-9+0.004881916404137156i,21.608171214826676-6.821888378849384i
0.03,0,830,0,0,13000.000000000002,-7.398600465962266E-9+0.004800339167510015i,21.681358111598442-6.821888462991733i
0.03,0,840,0,0,13000.000000000002,-7.369155528358695E-9+0.00472099458934431i,21.753745124063926-6.821888548409719i
0.03,0,850,0,0,13000.000000000002,-7.341349257102885E-9+0.0046437735026665355i,21.825372723003586-6.821888635140246i
0.03,0,860,0,0,13000.000000000002,-7.315117382733589E-9+0.004568573374102092i,21.896279894299877-6.821888723223901i
0.03,0,870,0,0,13000.000000000002,-7.2904022166136995E-9+0.004495297768763911i,21.966504275761945-6.821888812705174i
0.03,0,880,0,0,13000.000000000002,-7.267152246004766E-9+0.004423855864265258i,22.036082285586836-6.821888903632625i
0.03,0,890,0,0,13000.000000000002,-7.2453217846402715E-9+0.004354162008457376i,22.10504924353232-6.821888996059166i
0.03,0,900,0,0,13000.000000000002,-7.224870674009946E-9+0.004286135316142149i,22.173439485787586-6.821889090042303i
0.03,0,910,0,0,13000.000000000002,-7.2057640314230324E-9+0.004219699300574058i,22.241286474449954-6.821889185644459i
0.03,0,920,0,0,13000.000000000002,-7.187972041488273E-9+0.004154781536048096i,22.308622902456737-6.821889282933308i
0.03,0,930,0,0,13000.000000000002,-7.171469788484611E-9+0.00409131334829217i,22.375480794769313-6.821889381982181i
0.03,0,940,0,0,13000.000000000002,-7.156237127506583E-9+0.004029229529746278i,22.441891606568046-6.821889482870462i
0.03,0,950,0,0,13000.000000000002,-7.142258592912579E-9+0.003968468077123144i,22.507886319192203-6.821889585684117i
0.03,0,960,0,0,13000.000000000002,-7.129523343078089E-9+0.003908969948930367i,22.573495534528377-6.821889690516183i
0.03,0,970,0,0,13000.000000000002,-7.118025140938905E-9+0.0038506788408589274i,22.638749568556456-6.821889797467411i
0.03,0,980,0,0,13000.000000000002,-7.107762370343883E-9+0.003793540977161657i,22.703678544749472-6.821889906646914i
0.03,0,990,0,0,13000.000000000002,-7.098738088626633E-9+0.003737504916317603i,22.76831248804147-6.821890018172918i
0.03,0,1000,0,0,13000.000000000002,-7.0909601163974256E-9+0.0036825213694384146i,22.83268142009161-6.821890132173607i
0.03,0,1010,0,0,13000.000000000002,-7.084441166003209E-9+0.0036285430300045476i,22.896815456604898-6.82189024878805i
0.03,0,1020,0,0,13000.000000000002,-7.0791990106764655E-9+0.003575524413633659i,22.96074490751192-6.821890368167265i
0.03,0,1030,0,0,13000.000000000002,-7.07525669699357E-9+0.0035234217066841458i,23.02450038085898-6.821890490475379i
0.03,0,1040,0,0,13000.000000000002,-7.072642803836436E-9+0.003472192622574463i,23.08811289133251-6.821890615890953i
0.03,0,1050,0,0,13000.000000000002,-7.071391751931751E-9+0.003421796264770347i,23.15161397441834-6.821890744608477i
0.03,0,1060,0,0,13000.000000000002,-7.071544168633715E-9+0.0033721929954425647i,23.21503580730032-6.821890876840029i
0.03,0,1070,0,0,13000.000000000002,-7.073147313712671E-9+0.0033233443088429527i,23.27841133771679-6.821891012817177i
0.03,0,1080,0,0,13000.000000000002,-7.07625557289155E-9+0.0032752127084680655i,23.341774422144645-6.821891152793091i
0.03,0,1090,0,0,13000.000000000002,-7.080931026977775E-9+0.0032277615871048543i,23.405159974838988-6.821891297044987i
0.03,0,1100,0,0,13000.000000000002,-7.0872441061541014E-9+0.0031809551088483297i,23.46860412946759-6.8218914458768465i
0.03,0,1110,0,0,13000.000000000002,-7.095274340161993E-9+0.003134758092175412i,23.532144415313695-6.8218915996225515i
0.03,0,1120,0,0,13000.000000000002,-7.105111217472898E-9+0.0030891358931386653i,23.595819950300143-6.821891758649439i
0.03,0,1130,0,0,13000.000000000002,-7.1168551685247324E-9+0.0030440542876983144i,23.659671653434444-6.821891923362357i
0.03,0,1140,0,0,13000.000000000002,-7.13061869083691E-9+0.0029994793521660756i,23.72374247966205-6.821892094208339i
0.03,0,1150,0,0,13000.000000000002,-7.146527637123684E-9+0.002955377340655142i,23.788077680601145-6.821892271681942i
0.03,0,1160,0,0,13000.000000000002,-7.1647226909955915E-9+0.0029117145583424688i,23.8527250951963-6.821892456331409i
0.03,0,1170,0,0,13000.000000000002,-7.1853610597215895E-9+0.002868457229231111i,23.917735475012975-6.821892648765804i
0.03,0,1180,0,0,13000.000000000002,-7.208618418683785E-9+0.0028255713569580463i,23.983162849713523-6.821892849663233i
0.03,0,1190,0,0,13000.000000000002,-7.2346911488223594E-9+0.0027830225770166224i,24.04906493924378-6.821893059780461i
0.03,0,1200,0,0,13000.000000000002,-7.263798916244987E-9+0.0027407759985480715i,24.11550362045764-6.821893279964059i
0.03,0,1210,0,0,13000.000000000002,-7.296187652805763E-9+0.002698796033597686i,24.182545457358604-6.8218935111635055i
0.03,0,1220,0,0,13000.000000000002,-7.332133008159462E-9+0.002657046211416705i,24.250262305911694-6.821893754446532i
0.03,0,1230,0,0,13000.000000000002,-7.371944358171265E-9+0.0026154889750056643i,24.318732006559358-6.821894011017211i
0.03,0,1240,0,0,13000.000000000002,-7.415969472194123E-9+0.0025740854566388073i,24.388039180243215-6.821894282237384i
0.03,0,1250,0,0,13000.000000000002,-7.464599963512584E-9+0.0025327952285414167i,24.4582761470573-6.821894569652109i
0.03,0,1260,0,0,13000.000000000002,-7.51827767429302E-9+0.002491576024208697i,24.529543990780642-6.82189487502001i
0.03,0,1270,0,0,13000.000000000002,-7.577502180053202E-9+0.0024503834250221112i,24.601953797692037-6.821895200349688i
