% Model,hl2.mph
% Version,COMSOL 6.1.0.357
% Date,"Nov 24 2023, 13:15"
% Table,Accumulated Probe Table 5 - 
% d1 (m),m,freq (Hz),"Total acoustic pressure (Pa), Pressure","Total acoustic velocity, z-component (m^3/s), Velocity","Total acoustic pressure (Pa), Pressure 1","Total acoustic velocity, z-component (m^3/s), Velocity 1","10*log10(acpr.p_t/acpr.v_tz), Impedance Probe 5"
0.03,0,4380,0,0,13000.000000000002,-3.0831305741301296E-7-0.0017950805963841928i,25.953316553350778+6.822627960241615i
0.03,0,4390,0,0,13000.000000000002,-3.874308261450828E-7-0.002030757603338247i,25.417405652541486+6.822710558350662i
0.03,0,4400,0,0,13000.000000000002,-5.038867998374772E-7-0.002330080308304845i,24.820131056328908+6.822821148186958i
0.03,0,4410,0,0,13000.000000000002,-6.855284004661497E-7-0.002725586988880288i,24.13911367756458+6.822974263944082i
0.03,0,4420,0,0,13000.000000000002,-9.919794411257465E-7-0.003276764526049116i,23.339155063730153+6.823196662966542i
0.03,0,4430,0,0,13000.000000000002,-1.5705881271759286E-6-0.004105328480272439i,22.36003924062384+6.823543385356239i
0.03,0,4440,0,0,13000.000000000002,-2.872892706381032E-6-0.005505638040726102i,21.085369489911727+6.824148055346437i
0.03,0,4450,0,0,13000.000000000002,-6.8970033075508344E-6-0.008419695458129612i,19.240425698359854+6.8254393697858715i
0.03,0,4460,0,0,13000.000000000002,-3.417408220730916E-5-0.0184003724032234i,15.845078051550182+6.82994773993359i
0.03,0,4470,0,0,13000.000000000002,-6.849220234797251E-4+0.08037116827029811i,9.442168650315741-6.8588913696898235i
0.03,0,4480,0,0,13000.000000000002,-1.6552814833544625E-5+0.012101108624349695i,17.66506896006099-6.827822382925811i
0.03,0,4490,0,0,13000.000000000002,-4.937714702565876E-6+0.006343144780100251i,20.47029262219681-6.825262502859121i
0.03,0,4500,0,0,13000.000000000002,-2.3765368704209433E-6+0.004175640043007042i,22.286148259150707-6.8243536094980515i
0.03,0,4510,0,0,13000.000000000002,-1.421671331148487E-6+0.0030199109291891334i,23.693506973007153-6.823926417750776i
0.03,0,4520,0,0,13000.000000000002,-9.6894234233129E-7+0.0022863652301957564i,24.902102561410917-6.823722488938639i
0.03,0,4530,0,0,13000.000000000002,-7.246765247692228E-7+0.0017655769759704482i,26.02486396165677-6.823664660870358i
0.03,0,4540,0,0,13000.000000000002,-5.847492076148615E-7+0.0013630850663584701i,27.148777950634493-6.823745416714546i
0.03,0,4550,0,0,13000.000000000002,-5.060783411061703E-7+0.0010282897410382318i,28.37334208288737-6.824020250707476i
0.03,0,4560,0,0,13000.000000000002,-4.7052211008375804E-7+7.291938299105921E-4i,29.867112010897355-6.824686724987713i
0.03,0,4570,0,0,13000.000000000002,-4.7360523772652297E-7+4.408767199367728E-4i,32.055738368125006-6.82655817360891i
0.03,0,4580,0,0,13000.000000000002,-5.232680469754359E-7+1.3776648405395569E-4i,37.15455822893547-6.838784584636666i
0.03,0,4590,0,0,13000.000000000002,-6.483896918924337E-7-2.158963391734245E-4i,35.16540917837555+6.835019263335844i
0.03,0,4600,0,0,13000.000000000002,-9.33258584633162E-7-6.868883104490998E-4i,30.12533333304761+6.827785904449748i
0.03,0,4610,0,0,13000.000000000002,-1.6707959061079217E-6-0.001440616631839644i,26.907877063369508+6.826918944324665i
0.03,0,4620,0,0,13000.000000000002,-4.447776890949783E-6-0.003080069945401205i,23.607747513052693+6.828153010156001i
0.03,0,4630,0,0,13000.000000000002,-4.1772335214995985E-5-0.011241878517805072i,17.985106597710256+6.838018769516192i
0.03,0,4640,0,0,13000.000000000002,-3.499763862350036E-5+0.011537873175031122i,17.87248537878231-6.8350555510014575i
0.03,0,4650,0,0,13000.000000000002,-4.240089659594341E-6+0.004320785140458366i,22.138420902532435-6.826144124728242i
0.03,0,4660,0,0,13000.000000000002,-1.6108756376900302E-6+0.0027815597807462782i,24.051500734478395-6.824397495370098i
0.03,0,4670,0,0,13000.000000000002,-8.700724245948194E-7+0.0020885219224082052i,25.296386674441703-6.823691745471726i
0.03,0,4680,0,0,13000.000000000002,-5.59608101779879E-7+0.001682505767260305i,26.23567148220981-6.8233270983076935i
0.03,0,4690,0,0,13000.000000000002,-3.9952885984219016E-7+0.001408992506208729i,27.006693982992882-6.82311425037972i
0.03,0,4700,0,0,13000.000000000002,-3.056513578576462E-7+0.0012079972666676267i,27.675769596382704-6.822981851629422i
0.03,0,4710,0,0,13000.000000000002,-2.4553882240333827E-7+0.0010512769228486407i,28.28003826084236-6.822897596184717i
0.03,0,4720,0,0,13000.000000000002,-2.0451484452833028E-7+9.237343365594862E-4i,28.84268824899194-6.822845113401637i
0.03,0,4730,0,0,13000.000000000002,-1.7513958152707454E-7+8.165336509257057E-4i,29.379587210263043-6.822815553081703i
0.03,0,4740,0,0,13000.000000000002,-1.5330659420109636E-7+7.241375285985351E-4i,29.902575902953327-6.8228040605296325i
0.03,0,4750,0,0,13000.000000000002,-1.365939722838853E-7+6.428846240239561E-4i,30.42130350394341-6.822808171264263i
0.03,0,4760,0,0,13000.000000000002,-1.234953028329823E-7+5.702468763740307E-4i,30.94438697908692-6.822827074801806i
0.03,0,4770,0,0,13000.000000000002,-1.1303184948787851E-7+5.044150861007827E-4i,31.48027241163521-6.822861346368649i
0.03,0,4780,0,0,13000.000000000002,-1.0454417207404224E-7+4.440547948002036E-4i,32.038023461398765-6.8229130128596465i
0.03,0,4790,0,0,13000.000000000002,-9.757411558685645E-8+3.8815584607233865E-4i,32.628226738467866-6.822985978269251i
0.03,0,4800,0,0,13000.000000000002,-9.179494530470718E-8+3.359360626140024E-4i,33.26425948924943-6.823087016316933i
0.03,0,4810,0,0,13000.000000000002,-8.696838525648864E-8+2.8677750909162714E-4i,33.96436332036527-6.823227916337699i
0.03,0,4820,0,0,13000.000000000002,-8.291731864185429E-8+2.401830887881262E-4i,34.75552340843414-6.823430448711052i
0.03,0,4830,0,0,13000.000000000002,-7.95079367885564E-8+1.9574622770557166E-4i,35.681887310148475-6.823739768942077i
0.03,0,4840,0,0,13000.000000000002,-7.663776995088554E-8+1.5312921344759418E-4i,36.827466585325304-6.824272367069626i
0.03,0,4850,0,0,13000.000000000002,-7.422748301378987E-8+1.1204739544341602E-4i,38.412314416803014-6.825553213357145i
0.03,0,4860,0,0,13000.000000000002,-7.221514242250356E-8+7.225743875376364E-5i,40.999282058113174-6.0495563613266095i
0.03,0,4870,0,0,13000.000000000002,-7.055214262842966E-8+3.3548433191727516E-5i,43.02353915576146-3.25026291051434i
0.03,0,4880,0,0,13000.000000000002,-6.920027048058443E-8-4.264954033282025E-6i,44.460879372079674-0.40901671633324027i
0.03,0,4890,0,0,13000.000000000002,-6.812956644275727E-8-4.134784348521687E-5i,45.92062203728229+5.91989030954585i
0.03,0,4900,0,0,13000.000000000002,-6.731675364891133E-8-7.784942212598942E-5i,40.13841631926509+6.826692694535209i
0.03,0,4910,0,0,13000.000000000002,-6.674408093038394E-8-1.1390641963702583E-4i,38.18022974931835+6.824726691609259i
0.03,0,4920,0,0,13000.000000000002,-6.639847335018062E-8-1.496459906562115E-4i,36.889285418591435+6.823937974398297i
0.03,0,4930,0,0,13000.000000000002,-6.627091692345369E-8-1.8518815861587705E-4i,35.91378826291335+6.82350397611767i
0.03,0,4940,0,0,13000.000000000002,-6.635602705032691E-8-2.2064794045354653E-4i,35.125078589436164+6.823228333072723i
0.03,0,4950,0,0,13000.000000000002,-6.665176639147038E-8-2.5613724611308545E-4i,34.46016494742349+6.823038069531492i
0.03,0,4960,0,0,13000.000000000002,-6.71592876735232E-8-2.917666294718174E-4i,33.883138993348716+6.822899413188777i
0.03,0,4970,0,0,13000.000000000002,-6.788289081740791E-8-3.2764695580195073E-4i,33.371462492417216+6.822794476175408i
0.03,0,4980,0,0,13000.000000000002,-6.88300846762599E-8-3.6389104408071773E-4i,32.91000137540607+6.822712867792446i
0.03,0,4990,0,0,13000.000000000002,-7.001175543530269E-8-4.006153392650014E-4i,32.488065637583496+6.822648132600323i
0.03,0,5000,0,0,13000.000000000002,-7.144244678663753E-8-4.3794166991304877E-4i,32.097796488177934+6.822596050502442i
0.03,0,5010,0,0,13000.000000000002,-7.314076986232244E-8-4.7599914999822907E-4i,31.73322314481955+6.822553751735337i
0.03,0,5020,0,0,13000.000000000002,-7.512994724915854E-8-5.149262906890468E-4i,31.389679560917727+6.822519223803012i
0.03,0,5030,0,0,13000.000000000002,-7.74385484369001E-8-5.548733988510993E-4i,31.06342685443009+6.822491021785817i
0.03,0,5040,0,0,13000.000000000002,-8.010142951733563E-8-5.96005354846939E-4i,30.751399221276618+6.822468090420776i
0.03,0,5050,0,0,13000.000000000002,-8.316095107534802E-8-6.385048843657898E-4i,30.451026988894824+6.8224496510407695i
0.03,0,5060,0,0,13000.000000000002,-8.66685457778371E-8-6.82576469574355E-4i,30.1601094231261+6.822435127723354i
0.03,0,5070,0,0,13000.000000000002,-9.068674276607837E-8-7.284510867344248E-4i,29.87672042106081+6.822424098135848i
0.03,0,5080,0,0,13000.000000000002,-9.529179498670158E-8-7.763920151654311E-4i,29.599136296397578+6.822416260543135i
0.03,0,5090,0,0,13000.000000000002,-1.00577113304455E-7-8.267020423879777E-4i,29.32577848312827+6.822411411841923i
0.03,0,5100,0,0,13000.000000000002,-1.066577933505716E-7-8.797325021628531E-4i,29.055166185178596+6.8224094334936645i
0.03,0,5110,0,0,13000.000000000002,-1.1367664308194366E-7-9.358947404355334E-4i,28.785875345036878+6.822410283488579i
0.03,0,5120,0,0,13000.000000000002,-1.218122991749174E-7-9.956748311050307E-4i,28.516501102967766+6.822413993310765i
0.03,0,5130,0,0,13000.000000000002,-1.3129029496605538E-7-0.0010596526935454814i,28.245621339634166+6.822420669502557i
0.03,0,5140,0,0,13000.000000000002,-1.4239836594901627E-7-0.0011285272515807365i,27.971759023319628+6.8224304999664085i
0.03,0,5150,0,0,13000.000000000002,-1.555079458644797E-7-0.001203150007433987i,27.693340944142424+6.822443765702688i
0.03,0,5160,0,0,13000.000000000002,-1.711048814577137E-7-0.0012845705300881514i,27.408649985593197+6.822460859371942i
0.03,0,5170,0,0,13000.000000000002,-1.8983416759620023E-7-0.0013740991227144536i,27.11576727432988+6.82248231303145i
0.03,0,5180,0,0,13000.000000000002,-2.1256651214322078E-7-0.001473394768889928i,26.81249919420054+6.822508838857924i
0.03,0,5190,0,0,13000.000000000002,-2.404997947624738E-7-0.0015845911344389038i,26.496282045672718+6.822541389019302i
0.03,0,5200,0,0,13000.000000000002,-2.753179808702759E-7-0.0017104813542675194i,26.164053529942326+6.822581244813475i
0.03,0,5210,0,0,13000.000000000002,-3.1944788312927037E-7-0.0018547963249662455i,25.812074236851974+6.822630152113994i
0.03,0,5220,0,0,13000.000000000002,-3.76489142885066E-7-0.0020226368192138764i,25.435672021632126+6.822690532809874i
0.03,0,5230,0,0,13000.000000000002,-4.5196496885137844E-7-0.0022211687150265925i,25.02886382546346+6.822765826098184i
0.03,0,5240,0,0,13000.000000000002,-5.546991165455143E-7-0.0024607894062855565i,24.583775350765634+6.822861062234944i
0.03,0,5250,0,0,13000.000000000002,-6.994953728876531E-7-0.0027571854496192174i,24.089711869790108+6.822983875958043i
0.03,0,5260,0,0,13000.000000000002,-9.12743227673402E-7-0.0031351919378371893i,23.53159253223964+6.823146408807621i
0.03,0,5270,0,0,13000.000000000002,-1.2452621508164041E-6-0.003636608790917151i,22.88713993909374+6.8233691637914715i
0.03,0,5280,0,0,13000.000000000002,-1.8054224368634114E-6-0.004337682688331342i,22.12140902754054+6.823689629427625i
0.03,0,5290,0,0,13000.000000000002,-2.8594466189838457E-6-0.0053938196804528375i,21.17491230194184+6.824184341052049i
0.03,0,5300,0,0,13000.000000000002,-5.215465778888978E-6-0.007178365371590115i,19.93351892980573+6.825037362084914i
0.03,0,5310,0,0,13000.000000000002,-1.2387269253069512E-5-0.010871011138156967i,18.13098050296147+6.826830647761119i
0.03,0,5320,0,0,13000.000000000002,-5.8723710650194636E-5-0.023190175423175266i,14.840544212661326+6.832879415970594i
0.03,0,5330,0,0,13000.000000000002,-0.0019532886021780805+0.1306123418350746i,7.333195556301712-6.8868248816531i
0.03,0,5340,0,0,13000.000000000002,-3.2720663717641636E-5+0.016457098198184746i,16.329916732333235-6.830516441893761i
0.03,0,5350,0,0,13000.000000000002,-9.428813435508584E-6+0.008568384013874285i,19.16441152693546-6.8266607185662025i
0.03,0,5360,0,0,13000.000000000002,-4.437325844180624E-6+0.005678901302352862i,20.95071670865103-6.825275138733173i
0.03,0,5370,0,0,13000.000000000002,-2.588655116564089E-6+0.004172786965583215i,22.289070779486014-6.824575941090096i
0.03,0,5380,0,0,13000.000000000002,-1.7059929027260065E-6+0.0032436305458443016i,23.383009644781808-6.8241659493989095i
0.03,0,5390,0,0,13000.000000000002,-1.2169733913086542E-6+0.002609649316610228i,24.327514721278657-6.823907098655774i
0.03,0,5400,0,0,13000.000000000002,-9.181696997488202E-7+0.002146712938071366i,25.175638033310268-6.823739421217363i
0.03,0,5410,0,0,13000.000000000002,-7.225155228768818E-7+0.0017915969591839496i,25.961054436852343-6.823633427169643i
0.03,0,5420,0,0,13000.000000000002,-5.876833326966376E-7+0.0015086890949968837i,26.707592437940622-6.8235738635190275i
0.03,0,5430,0,0,13000.000000000002,-4.910866443590576E-7+0.001276379227277654i,27.433999412336362-6.823553298108473i
0.03,0,5440,0,0,13000.000000000002,-4.197858082590636E-7+0.0010807732317206296i,28.15676690538783-6.823569513344043i
0.03,0,5450,0,0,13000.000000000002,-3.659436708266499E-7+9.12510142884693E-4i,28.892219130712526-6.823624793807917i
0.03,0,5460,0,0,13000.000000000002,-3.2459949786568086E-7+7.650300312206348E-4i,29.658564557582626-6.823726644320588i
0.03,0,5470,0,0,13000.000000000002,-2.9250263272174213E-7+6.335742940795488E-4i,30.478590489085345-6.823890391158554i
0.03,0,5480,0,0,13000.000000000002,-2.6746738430700194E-7+5.145792125053071E-4i,31.38412438850522-6.824145553378734i
0.03,0,5490,0,0,13000.000000000002,-2.4800059896435775E-7+4.0529137222170187E-4i,32.424860572639915-6.824551906598845i
0.03,0,5500,0,0,13000.000000000002,-2.3307994672734267E-7+3.035131265035604E-4i,33.689118080803546-6.825246558109996i
0.03,0,5510,0,0,13000.000000000002,-2.2202013874751203E-7+2.074262025728118E-4i,35.365282310370326-6.826625469183262i
0.03,0,5520,0,0,13000.000000000002,-2.143938946995219E-7+1.1546242024681185E-4i,38.02071990060185-6.830607841912966i
0.03,0,5530,0,0,13000.000000000002,-2.0999021858968712E-7+2.62015764423612E-5i,44.56395624915244-4.41613059506371i
0.03,0,5540,0,0,13000.000000000002,-2.0880225164835078E-7-6.171783162483926E-5i,41.0321753013026+6.839740715982389i
0.03,0,5550,0,0,13000.000000000002,-2.1104398133644596E-7-1.4968729531053882E-4i,36.817094893703896+6.82821281605923i
0.03,0,5560,0,0,13000.000000000002,-2.172025806690791E-7-2.3922957229031096E-4i,34.73561205824553+6.825878778996303i
0.03,0,5570,0,0,13000.000000000002,-2.281440008960334E-7-3.321303030345468E-4i,33.296288565196676+6.824886754131636i
0.03,0,5580,0,0,13000.000000000002,-2.4530929023311954E-7-4.3062826144482126E-4i,32.16190005001388+6.824366761339569i
0.03,0,5590,0,0,13000.000000000002,-2.710802860906641E-7-5.377147658914968E-4i,31.193929006567444+6.82407759540095i
0.03,0,5600,0,0,13000.000000000002,-3.094868585453996E-7-6.576404845801708E-4i,30.31745707269305+6.823929645838335i
0.03,0,5610,0,0,13000.000000000002,-3.676597460275481E-7-7.968363010938948E-4i,29.48227132585355+6.823888369311082i
0.03,0,5620,0,0,13000.000000000002,-4.590685034327257E-7-9.657225044246064E-4i,28.646486179043553+6.823948198328237i
0.03,0,5630,0,0,13000.000000000002,-6.115571604528583E-7-0.0011826161000984025i,27.76589501397552+6.824129003945358i
0.03,0,5640,0,0,13000.000000000002,-8.904036351392708E-7-0.0014832764975465248i,26.78163139109998+6.824489799139867i
0.03,0,5650,0,0,13000.000000000002,-1.4797374610925318E-6-0.0019486160020941532i,25.59626697934774+6.82518032658572i
0.03,0,5660,0,0,13000.000000000002,-3.081065605093208E-6-0.0028096792391145136i,24.006784920517443+6.826644445709305i
0.03,0,5670,0,0,13000.000000000002,-1.0579516664423489E-5-0.005099634554945249i,21.41793964230324+6.830891280522073i
0.03,0,5680,0,0,13000.000000000002,-6.094697433387639E-4-0.0371283571031508i,12.795887371494503+6.893164915077026i
0.03,0,5690,0,0,13000.000000000002,-1.960574497642885E-5+0.006249275105423316i,20.535702172652705-6.835508509812742i
0.03,0,5700,0,0,13000.000000000002,-4.223340013006274E-6+0.0026558084369102883i,24.25302364361099-6.828791369215594i
0.03,0,5710,0,0,13000.000000000002,-1.8391538990517008E-6+0.0015601728225650574i,26.56510934515644-6.827007605567227i
0.03,0,5720,0,0,13000.000000000002,-1.0528173692766432E-6+0.0010153578544821525i,28.43419499353532-6.826397438599729i
0.03,0,5730,0,0,13000.000000000002,-6.996314238545333E-7+6.805288375321089E-4i,30.179291884100518-6.826373995814074i
0.03,0,5740,0,0,13000.000000000002,-5.113670420615324E-7+4.4789457689525293E-4i,32.013713687218164-6.826912322359725i
0.03,0,5750,0,0,13000.000000000002,-3.9948848737626506E-7+2.725669574832048E-4i,34.227514308456904-6.828524324726925i
0.03,0,5760,0,0,13000.000000000002,-3.2787931493029607E-7+1.324869266010297E-4i,37.79413732302895-6.8369155422363646i
0.03,0,5770,0,0,13000.000000000002,-2.795688463376538E-7+1.5522897782287248E-5i,43.28071762222507-2.7032448127230237i
0.03,0,5780,0,0,13000.000000000002,-2.457306347760662E-7-8.557163238910362E-5i,39.913775672028144+6.839290463383498i
0.03,0,5790,0,0,13000.000000000002,-2.2141013050784193E-7-1.7541246628818646E-4i,36.217757531423445+6.827780593132413i
0.03,0,5800,0,0,13000.000000000002,-2.0365757099509665E-7-2.570983166781734E-4i,34.4698853996569+6.82544303865297i
0.03,0,5810,0,0,13000.000000000002,-1.906345412660377E-7-3.328052921021775E-4i,33.318313986478564+6.824421936665774i
0.03,0,5820,0,0,13000.000000000002,-1.8115467449202338E-7-4.0412484264822833E-4i,32.46041578135851+6.823856543672887i
0.03,0,5830,0,0,13000.000000000002,-1.7443358774937057E-7-4.722663453606194E-4i,31.775418411057387+6.823502809050609i
0.03,0,5840,0,0,13000.000000000002,-1.6994643262260613E-7-5.381844306811111E-4i,31.202759668679043+6.823264372489217i
0.03,0,5850,0,0,13000.000000000002,-1.6734406401687585E-7-6.026627409510037E-4i,30.707784916869254+6.823095572318035i
0.03,0,5860,0,0,13000.000000000002,-1.6640298843929632E-7-6.663717916099835E-4i,30.268819533062604+6.822972080634096i
0.03,0,5870,0,0,13000.000000000002,-1.6699612665135524E-7-7.299113829461014E-4i,29.871379010388928+6.822879844868631i
0.03,0,5880,0,0,13000.000000000002,-1.6907775795470014E-7-7.938442344781271E-4i,29.505249847579545+6.822810277631088i
0.03,0,5890,0,0,13000.000000000002,-1.7267990216129251E-7-8.587256682591748E-4i,29.162879144565927+6.8227579434911i
0.03,0,5900,0,0,13000.000000000002,-1.7792056708430848E-7-9.251336323121308E-4i,28.83841438175197+6.822719371978131i
0.03,0,5910,0,0,13000.000000000002,-1.850282525826145E-7-9.937040988532548E-4i,28.527081819754073+6.8226924402047056i
0.03,0,5920,0,0,13000.000000000002,-1.9439429139167583E-7-0.0010651795435744028i,28.224736085564466+6.822676094318308i
0.03,0,5930,0,0,13000.000000000002,-2.066808592949651E-7-0.0011404848388611364i,27.927469151120548+6.822670346137465i
0.03,0,5940,0,0,13000.000000000002,-2.23054743569807E-7-0.0012208612019656581i,27.63116640371789+6.822676633425667i
0.03,0,5950,0,0,13000.000000000002,-2.457419292616473E-7-0.0013081322261655525i,27.330822224313966+6.8226989292522475i
0.03,0,5960,0,0,13000.000000000002,-2.795286831624144E-7-0.00140530678596223i,27.019159381051626+6.822746904350496i
0.03,0,5970,0,0,13000.000000000002,-3.366548682586808E-7-0.0015181932198456533i,26.68312629337578+6.822846164251378i
0.03,0,5980,0,0,13000.000000000002,-4.579351525431083E-7-0.001660879079083291i,26.292482955979406+6.82308085453407i
0.03,0,5990,0,0,13000.000000000002,-8.623810633430447E-7-0.0018834560453421917i,25.745575223064733+6.823872897866225i
0.03,0,6000,0,0,13000.000000000002,-6.115452581417359E-6-0.0026533231497683735i,24.255787653731446+6.831897110757695i
0.03,0,6010,0,0,13000.000000000002,-4.916542148043477E-6-9.22626802909369E-4i,28.865536706074202+6.8453262057346596i
0.03,0,6020,0,0,13000.000000000002,-9.195406123941277E-7-0.00161518119260401i,26.416313757281543+6.824361638257152i
0.03,0,6030,0,0,13000.000000000002,-6.161230508461936E-7-0.0018748892165130035i,25.7673050528462+6.823311344300594i
0.03,0,6040,0,0,13000.000000000002,-5.761083229387054E-7-0.0020856498618631544i,25.304018967348753+6.823082746209642i
0.03,0,6050,0,0,13000.000000000002,-6.093263671958393E-7-0.002296680586308074i,24.88503171151654+6.823034932688488i
0.03,0,6060,0,0,13000.000000000002,-6.843487854225841E-7-0.002526697464269209i,24.470210836154564+6.823058791489547i
0.03,0,6070,0,0,13000.000000000002,-7.991012660103768E-7-0.0027894321606699592i,24.04034562156495+6.823126542182923i
0.03,0,6080,0,0,13000.000000000002,-9.638837380433464E-7-0.0031000788005643614i,23.581570958249493+6.823232639702935i
0.03,0,6090,0,0,13000.000000000002,-1.201193231884412E-6-0.0034793023814305626i,23.080194687183035+6.823381622562216i
0.03,0,6100,0,0,13000.000000000002,-1.5534023648703176E-6-0.003958494536896311i,22.519651292544527+6.823586493313853i
0.03,0,6110,0,0,13000.000000000002,-2.1028923409882524E-6-0.004589475473174544i,21.877169838209735+6.823872123639928i
0.03,0,6120,0,0,13000.000000000002,-3.024529063201985E-6-0.0054655900463716454i,21.118288898588805+6.824285448526267i
0.03,0,6130,0,0,13000.000000000002,-4.7427828997133276E-6-0.0067747775448095526i,20.1855765897788+6.824922485452859i
0.03,0,6140,0,0,13000.000000000002,-8.5202446548797E-6-0.008961142007802533i,18.970767721123103+6.826011391185585i
0.03,0,6150,0,0,13000.000000000002,-1.9643828404151975E-5-0.013388507040336544i,17.226958587983564+6.8282541413978715i
0.03,0,6160,0,0,13000.000000000002,-8.473729059680118E-5-0.02728143591051174i,14.13547857977927+6.835371421089259i
0.03,0,6170,0,0,13000.000000000002,-0.015326779785088703+0.3585838125002451i,2.9441934570895465-7.007396991848621i
0.03,0,6180,0,0,13000.000000000002,-6.483961886896242E-5+0.02276646821827345i,14.920986130023737-6.834250279503146i
0.03,0,6190,0,0,13000.000000000002,-1.744274008307189E-5+0.011479914033943047i,17.894470131248063-6.828480207009914i
0.03,0,6200,0,0,13000.000000000002,-8.000222954332628E-6+0.007533780365236066i,19.723635216424597-6.826493324737903i
0.03,0,6210,0,0,13000.000000000002,-4.5999158389348295E-6+0.0055164917466629946i,21.07704660727676-6.82550286465416i
0.03,0,6220,0,0,13000.000000000002,-3.0004600477235147E-6+0.004286518254138974i,22.17254621671376-6.824921483584223i
0.03,0,6230,0,0,13000.000000000002,-2.1222020919317357E-6+0.0034546388512898605i,23.10948959872123-6.824549440959018i
0.03,0,6240,0,0,13000.000000000002,-1.5884690172999978E-6+0.0028518464834081272i,23.942186118895474-6.824300581997469i
0.03,0,6250,0,0,13000.000000000002,-1.239992122857826E-6+0.0023928967024349477i,24.704150394372412-6.8241321154155825i
0.03,0,6260,0,0,13000.000000000002,-9.999986124272741E-7+0.002030128505761125i,25.418111812424826-6.824020909867908i
0.03,0,6270,0,0,13000.000000000002,-8.27769334130459E-7+0.0017348017540375733i,26.100826531051215-6.823953999342358i
0.03,0,6280,0,0,13000.000000000002,-7.000714750633113E-7+0.0014885502551469133i,26.76569778003039-6.823924356356653i
0.03,0,6290,0,0,13000.000000000002,-6.02862238280956E-7+0.001279083594860174i,27.42439514761504-6.823928947710192i
0.03,0,6300,0,0,13000.000000000002,-5.272475967731002E-7+0.001097862056009377i,28.08802489148889-6.823967966160146i
0.03,0,6310,0,0,13000.000000000002,-4.673728218760947E-7+9.387629328865979E-4i,28.768165771089347-6.8240448554880295i
0.03,0,6320,0,0,13000.000000000002,-4.1925711425695075E-7+7.972777038218771E-4i,29.478021053006028-6.824167136852186i
0.03,0,6330,0,0,13000.000000000002,-3.801185505557541E-7+6.700087945645739E-4i,30.233994141787633-6.824348440256902i
0.03,0,6340,0,0,13000.000000000002,-3.4796700871628315E-7+5.543430488210886E-4i,31.058221577099964-6.824612893330915i
0.03,0,6350,0,0,13000.000000000002,-3.213500857121075E-7+4.4823342095096926E-4i,31.983213244008258-6.825004984797791i
0.03,0,6360,0,0,13000.000000000002,-2.991897012741276E-7+3.500491289689185E-4i,33.06152058091726-6.825614353034522i
0.03,0,6370,0,0,13000.000000000002,-2.806742789742233E-7+2.5847034645310954E-4i,34.38937503475396-6.82665063739611i
0.03,0,6380,0,0,13000.000000000002,-2.6518599365619423E-7+1.724125836105368E-4i,36.18051679674039-6.828752891025473i
0.03,0,6390,0,0,13000.000000000002,-2.5225074757230295E-7+9.097127677004417E-5i,39.1548374095407-6.835750388114859i
0.03,0,6400,0,0,13000.000000000002,-2.415032500667504E-7+1.338037587306676E-5i,45.209134426702505-2.4467232741595137i
0.03,0,6410,0,0,13000.000000000002,-2.3266238175371988E-7-6.101923835326425E-5i,41.11992256185567+6.842260567407118i
0.03,0,6420,0,0,13000.000000000002,-2.2551374422903087E-7-1.3280437404462306E-4i,37.36787077340576+6.829592206200027i
0.03,0,6430,0,0,13000.000000000002,-2.1989738109668027E-7-2.0248920837486208E-4i,35.47892894691833+6.826694497672024i
0.03,0,6440,0,0,13000.000000000002,-2.1569936420134235E-7-2.705415024562661E-4i,34.20081349233195+6.825385791791528i
0.03,0,6450,0,0,13000.000000000002,-2.1284642121658012E-7-3.3739646983309263E-4i,33.23235815922045+6.824643492402446i
0.03,0,6460,0,0,13000.000000000002,-2.1130313290284593E-7-4.034691973087207E-4i,32.45037218615479+6.82416950752414i
0.03,0,6470,0,0,13000.000000000002,-2.1107151252150816E-7-4.691663983973868E-4i,31.79188297718377+6.823844356334122i
0.03,0,6480,0,0,13000.000000000002,-2.1219304580343572E-7-5.348982472431807E-4i,31.2201828067902+6.823610771553543i
0.03,0,6490,0,0,13000.000000000002,-2.1475356390394456E-7-6.01091093588793E-4i,30.711867612946325+6.8234379487652435i
0.03,0,6500,0,0,13000.000000000002,-2.188917007872948E-7-6.682020118966692E-4i,30.25097055350097+6.823307959766431i
0.03,0,6510,0,0,13000.000000000002,-2.2481223210054046E-7-7.367364248646083E-4i,29.82597281324415+6.823209800828088i
0.03,0,6520,0,0,13000.000000000002,-2.328064442029775E-7-8.072705294406823E-4i,29.428135215966304+6.823136511232358i
0.03,0,6530,0,0,13000.000000000002,-2.4328306973367115E-7-8.80481061003531E-4i,29.050491180694728+6.823083679796016i
0.03,0,6540,0,0,13000.000000000002,-2.568157075332391E-7-9.571862736819601E-4i,28.687189620067784+6.823048644897144i
0.03,0,6550,0,0,13000.000000000002,-2.742168531129618E-7-0.0010384042876552325i,28.333025372610585+6.823030079545422i
0.03,0,6560,0,0,13000.000000000002,-2.966564417872784E-7-0.0011254389111409631i,27.9830619258173+6.823027823753771i
0.03,0,6570,0,0,13000.000000000002,-3.258577366956879E-7-0.0012200101767227897i,27.632279859608378+6.823042915796856i
0.03,0,6580,0,0,13000.000000000002,-3.644335777098551E-7-0.0013244602289474482i,27.27519054697672+6.823077838091802i
0.03,0,6590,0,0,13000.000000000002,-4.1649030791876096E-7-0.0014420916252190481i,26.905341063767935+6.823137066509109i
