% Model,Trumpet_3.mph
% Version,COMSOL 6.1.0.357
% Date,"Jan 15 2024, 11:44"
% Table,Probe Table 1 - 
% freq (Hz),"Total acoustic pressure (Pa), input pressure","Total acoustic velocity, z-component (m^3/s), input velocity","10*log10(abs(acpr.p_t/acpr.v_tz)), impedance"
349.4771241830065,15.36056004111296+0.7771881461269466i,3.421983982880699E-9-6.743140907617245E-8i,39.40033734020045
354.64052287581694,15.363446107953338+0.7481855722148234i,3.1708552954202514E-9-6.490017655035345E-8i,39.575478023636144
359.8039215686274,15.366168917540474+0.719741873999755i,2.9339562606259366E-9-6.241763874782446E-8i,39.754509253643924
364.96732026143786,15.368736994177322+0.6918340624203854i,2.7105441543499486E-9-5.998179261468685E-8i,39.93779576762031
370.1307189542483,15.371158277858738+0.6644403589699337i,2.499927163930084E-9-5.75907405725328E-8i,40.1257413790816
375.2941176470588,15.373440162525268+0.6375401185821301i,2.301461055122615E-9-5.5242683801167425E-8i,40.318795773838076
380.45751633986924,15.375589532046003+0.6111137620076317i,2.1145460367479453E-9-5.293591634516308E-8i,40.517462799864745
385.6209150326797,15.377612795717877+0.5851427159531851i,1.938623667483761E-9-5.066881989941942E-8i,40.72231069504054
390.78431372549016,15.379515924301181+0.5596093587634747i,1.7731737158646036E-9-4.8439859076200606E-8i,40.93398486411752
395.9477124183006,15.381304486631878+0.5344969694641829i,1.617710970076921E-9-4.6247576964407403E-8i,41.153224052593814
401.1111111111111,15.382983686031274+0.5097896783189427i,1.4717820654054687E-9-4.4090590822120394E-8i,41.38088111182473
406.27450980392155,15.38455839529691+0.48547241807601416i,1.3349624354363033E-9-4.1967587828605745E-8i,41.617950068596315
411.437908496732,15.38603318912198+0.4615308755344669i,1.2068534872959315E-9-3.9877320863727923E-8i,41.86560202187567
416.60130718954247,15.38741237311532+0.4379514438783095i,1.087080073195706E-9-3.781860435472019E-8i,42.12523367896442
421.7647058823529,15.388700009025847+0.4147211762318952i,9.752882927220525E-10-3.579031022955398E-8i,42.398534481909465
426.92810457516333,15.389899936076525+0.39182774093500544i,8.711436341250314E-10-3.3791364019637134E-8i,42.68758194453358
432.0915032679738,15.391015788451123+0.369259378986067i,7.743294508468428E-10-3.182074115205904E-8i,42.99498140847283
437.25490196078425,15.392051009012556+0.34700486396397806i,6.845457664040085E-10-2.987746345738009E-8i,43.32407890829888
442.4183006535947,15.393008859363183+0.3250534650863733i,6.015083979907581E-10-2.7960595951151327E-8i,43.679301051352304
447.5816993464052,15.393892426553048+0.3033949139455543i,5.249483721087593E-10-2.6069243935069252E-8i,44.066731028617504
452.74509803921563,15.394704627101817+0.28201937571959224i,4.546115742439728E-10-2.4202550489981254E-8i,44.495163598423744
457.9084967320261,15.395448209484366+0.26091742547885055i,3.902585322702393E-10-2.235969441077628E-8i,44.97825186073823
463.07189542483655,15.396125756639456+0.24008002962544914i,3.316641978063413E-10-2.0539888589304156E-8i,45.53958897949116
468.235294117647,15.396739690138647+0.21949853186184945i,2.786175828115912E-10-1.8742378792555393E-8i,46.227970594445864
473.3986928104575,15.397292277271948+0.19916464220081206i,2.3092114198762906E-10-1.6966442704914603E-8i,47.189360667334206
478.56209150326794,15.397785641511032+0.17907042715138033i,1.8838986088478447E-10-1.521138907290181E-8i,49.67503711655158
483.7254901960784,15.398221775884707+0.15920829929678645i,1.5085009027817147E-10-1.347655679725205E-8i,48.25113041738117
488.88888888888886,15.39860255808538+0.1395710049241278i,1.1813822979543567E-10-1.1761313854576691E-8i,48.622778375536605
494.0522875816993,15.398929765835039+0.12015160923895726i,9.009938899963164E-11-1.0065056009147889E-8i,49.85708015324061
499.2156862745098,15.399205091185017+0.10094347927796819i,6.658614146550984E-11-8.387205324237678E-9i,50.015327736487876
504.3790849673202,15.399430152816594+0.08194026522054566i,4.745745310519686E-11-6.727208532364057E-9i,49.39290637909985
509.54248366013064,15.399606505834425+0.06313588077553194i,3.2577829006710224E-11-5.084535327613151E-9i,49.77060741520028
514.7058823529411,15.399735648834623+0.04452448337583127i,2.1816697765832838E-11-3.458676639209328E-9i,49.98352306940693
519.8692810457516,15.399819028164712+0.026100454769523128i,1.504804051569588E-11-1.849142940200011E-9i,49.91864888711778
525.032679738562,15.399858039345153+0.007858382675443275i,1.2150267284754312E-11-2.5546264991889813E-10i,48.71160080984933
530.1960784313725,15.399854025725755-0.010206955811982514i,1.300633425085013E-11+1.3228193128282749E-9i,48.282259364626654
535.359477124183,15.39980827470822-0.028100608162785996i,1.7504073025152536E-11+2.88614274360655E-9i,48.1526290393299
540.5228758169934,15.399722012302915-0.045827456808075824i,2.553666500366718E-11+4.434933057812196E-9i,48.37824289320716
545.6862745098039,15.399596397287958-0.06339222545311417i,3.700315026052656E-11+5.969601840860506E-9i,49.430967848418454
550.8496732026143,15.399432516585389-0.08079948125881631i,5.180883029995998E-11+7.490547038090964E-9i,47.822902675232946
556.0130718954248,15.39923138342613-0.09805363381573616i,6.986542771647896E-11+8.998152864818063E-9i,47.32223507018357
561.1764705882352,15.398993939349111-0.11515893243354683i,9.109091172535624E-11+1.0492789570063138E-8i,47.10517060893853
566.3398692810457,15.398721060195273-0.13211946367683094i,1.154089756166975E-10+1.1974813222549886E-8i,47.25121695271745
571.5032679738562,15.398413565331388-0.1489391508803905i,1.4274823284124802E-10+1.3444565667855233E-8i,47.03825871142021
576.6666666666666,15.398072228702116-0.16562175671309531i,1.7304125387954393E-10+1.4902374752478593E-8i,47.00223412800057
581.8300653594771,15.397697790137839-0.1821708890571119i,2.0622358093108185E-10+1.6348554836022085E-8i,46.10083034914007
586.9934640522875,15.39729096557982-0.1985900098321176i,2.422328370488183E-10+1.7783407560926303E-8i,45.767164255914224
592.156862745098,15.39685245532273-0.21488244598068554i,2.8100800808019824E-10+1.9207222809144435E-8i,45.83872456851353
597.3202614379085,15.396382949786938-0.2310514018391979i,3.22488939925689E-10+2.062027978075533E-8i,44.98537213744716
602.4836601307189,15.395883132601497-0.247099972061833i,3.666160701555368E-10+2.2022848119708714E-8i,44.56056353877658
607.6470588235294,15.395353680895937-0.263031154429127i,4.1333040284044365E-10+2.3415189029968544E-8i,44.2288026248128
612.8104575163399,15.394795262775117-0.27884786177565857i,4.6257372883489466E-10+2.4797556315153655E-8i,43.86331437079116
617.9738562091503,15.394208532114334-0.2945529321604455i,5.142890795050302E-10+2.6170197263688926E-8i,43.563016449291005
623.1372549019608,15.393594121156223-0.31014913628467133i,5.684213719368627E-10+2.7533353295546454E-8i,43.29515102974534
628.3006535947711,15.392952631895028-0.32563918124732116i,6.249181596821306E-10+2.8887260288776007E-8i,43.05073014630378
633.4640522875816,15.392284627739-0.34102571016991856i,6.837303591601241E-10+3.023214854705225E-8i,42.82487345356546
638.627450980392,15.39159062720148-0.35631129797635164i,7.448127991436796E-10+3.1568242430617276E-8i,42.614380241973755
643.7908496732025,15.390871101170111-0.3714984444279365i,8.081244583891449E-10+3.289575975028212E-8i,42.41695195291413
648.954248366013,15.39012647459742-0.3865895663237131i,8.736283179751253E-10+3.4214911087304454E-8i,42.23084564263778
654.1176470588234,15.389357132467072-0.4015869908304243i,9.412908411195796E-10+3.552589921244224E-8i,42.054690150340456
659.2810457516339,15.388563428956257-0.41649295166008343i,1.0110811745599148E-9+3.682891875310694E-8i,41.8873774565788
664.4444444444443,15.387745698174376-0.43130958895568966i,1.0829702127417306E-9+3.812415618350862E-8i,41.727993542262524
669.6078431372548,15.38690426480899-0.4460389529386971i,1.1569296702082885E-9+3.941179014324483E-8i,41.57577193074457
674.7712418300653,15.386039453343464-0.4606830107904665i,1.2329312785459653E-9+4.0691992037039204E-8i,41.430061142836
679.9346405228757,15.385151594994172-0.47524365582575945i,1.3109461821298727E-9+4.1964926833979615E-8i,41.29030113334147
685.0980392156862,15.384241031915973-0.4897227180921938i,1.3909445719729273E-9+4.323075399171121E-8i,41.156005766553136
690.2614379084966,15.383308118466296-0.504121975559948i,1.4728955758836752E-9+4.448962843096199E-8i,41.02674949092569
695.4248366013071,15.38235321943154-0.5184431650556527i,1.5567674133518583E-9+4.574170148887908E-8i,40.90215701733184
700.5882352941176,15.381376705223737-0.5326879921131356i,1.6425278143664055E-9+4.6987121776512867E-8i,40.78189519889973
705.751633986928,15.380378944308106-0.5468581386352316i,1.7301446794924405E-9+4.822603584677768E-8i,40.66566656130005
