% Model,Trumpet_3.mph
% Version,COMSOL 6.1.0.357
% Date,"Jan 12 2024, 16:12"
% Table,Probe Table 1 - 
% freq (Hz),"Total acoustic pressure (Pa), input pressure","Total acoustic velocity, z-component (m^3/s), input velocity","10*log10(abs(acpr.p_t/acpr.v_tz)), impedance"
452.7450980392157,15.394763011514975+0.2839404807725277i,4.4947828529830123E-10-2.4369937186027555E-8i,44.45599983808422
468.2352941176471,15.396865912844568+0.21967047979094811i,2.67615356897937E-10-1.8757357703637815E-8i,46.221871789412695
483.72549019607845,15.398352946672706+0.1592542258656248i,1.3941980487446183E-10-1.3480555078159881E-8i,48.2509795802942
499.2156862745098,15.399338770038895+0.10090839497446119i,5.493941073495853E-11-8.384144827085064E-9i,50.012622832548324
514.7058823529412,15.39987216660016+0.04436911106245803i,9.925899204528009E-12-3.445135032667118E-9i,49.97952587493172
530.1960784313726,15.399991704262366-0.011302844379020469i,1.0409706423400696E-12+1.4183101812514019E-9i,48.26906299434632
545.686274509804,15.39974136224053-0.063110653638558i,2.4363875666040603E-11+5.945072063274103E-9i,49.524835863925794
561.1764705882354,15.399139985435411-0.11508034006787046i,7.836322224531374E-11+1.0485945977955547E-8i,47.10542900813678
576.6666666666666,15.398218271985318-0.1656364599715024i,1.603165702935953E-10+1.490366035612212E-8i,47.00115650357356
592.156862745098,15.396997689464897-0.21500364734694577i,2.6835715607916313E-10+1.9217787991463644E-8i,45.82144772356666
607.6470588235294,15.395490036090472-0.26350162130929333i,4.014645324037071E-10+2.3456186636626543E-8i,44.21477975166054
623.1372549019608,15.393773331048298-0.3095996292797853i,5.527880585706978E-10+2.748547888621599E-8i,43.304555832394044
638.6274509803922,15.391757502751197-0.35618326584925253i,7.302680125233362E-10+3.1557092200767454E-8i,42.616228783979366
654.1176470588235,15.389521084609079-0.401578746141855i,9.270047961731456E-10+3.5525186512703274E-8i,42.05488591147027
669.6078431372549,15.38706470488384-0.44613475871030306i,1.1429532968273184E-9+3.942014377847524E-8i,41.57488856110413
685.0980392156863,15.384390685547011-0.4900406022756819i,1.3779161782092823E-9+4.3258458011580816E-8i,41.15318114039364
700.5882352941177,15.381692853107662-0.5306551710056538i,1.6149048965670501E-9+4.681000480766718E-8i,40.799059983061454
716.0784313725491,15.378517963612751-0.5747711566150397i,1.893662687053563E-9+5.066664413254686E-8i,40.44598830845996
731.5686274509804,15.375271893004662-0.6166047100476402i,2.178608128455012E-9+5.432441850910213E-8i,40.136927295587405
747.0588235294117,15.371851322023858-0.6577973037047729i,2.4788034789657554E-9+5.7926352571762623E-8i,39.85336548804402
762.5490196078431,15.368252254774127-0.6985036557899416i,2.7946017723593587E-9+6.148592728643067E-8i,39.59067978069858
778.0392156862745,15.364337957925425-0.7402186614128758i,3.1379780264129723E-9+6.513339559732103E-8i,39.337316630675076
793.5294117647059,15.360653240655827-0.7774264765428631i,3.4612304240076436E-9+6.838815236344396E-8i,39.123324793637515
809.0196078431372,15.35655862692564-0.8167680163002078i,3.820354178477425E-9+7.182883235704709E-8i,38.90806774621501
824.5098039215686,15.352323173333517-0.8555407943886594i,4.191792108534102E-9+7.521996326500097E-8i,38.70591816075096
840,15.34793251335419-0.8939397469518421i,4.576803517055139E-9+7.857853031611722E-8i,38.514585826031954
855.4901960784314,15.343341279294624-0.9323808707985449i,4.979359744563121E-9+8.194078011038887E-8i,38.331109417812286
